연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.09457014
4,01-03 01:00,공주,0.09978385
4,01-03 02:00,공주,0.10367028
4,01-03 03:00,공주,0.10579992
4,01-03 04:00,공주,0.113168605
4,01-03 05:00,공주,0.09906172
4,01-03 06:00,공주,0.10779493
4,01-03 07:00,공주,0.1135064
4,01-03 08:00,공주,0.13018918
4,01-03 09:00,공주,0.12576945
4,01-03 10:00,공주,0.11396519
4,01-03 11:00,공주,0.09888329
4,01-03 12:00,공주,0.07936341
4,01-03 13:00,공주,0.08228847
4,01-03 14:00,공주,0.08450544
4,01-03 15:00,공주,0.08638268
4,01-03 16:00,공주,0.09221571
4,01-03 17:00,공주,0.0963075
4,01-03 18:00,공주,0.09749887
4,01-03 19:00,공주,0.11768456
4,01-03 20:00,공주,0.10194542
4,01-03 21:00,공주,0.105955824
4,01-03 22:00,공주,0.10235646
4,01-03 23:00,공주,0.115282476
4,01-04 00:00,공주,0.09457014
4,01-04 01:00,공주,0.09978385
4,01-04 02:00,공주,0.10367028
4,01-04 03:00,공주,0.10579992
4,01-04 04:00,공주,0.113168605
4,01-04 05:00,공주,0.09906172
4,01-04 06:00,공주,0.10779493
4,01-04 07:00,공주,0.1135064
4,01-04 08:00,공주,0.13018918
4,01-04 09:00,공주,0.12576945
4,01-04 10:00,공주,0.11396519
4,01-04 11:00,공주,0.09888329
4,01-04 12:00,공주,0.07936341
4,01-04 13:00,공주,0.08228847
4,01-04 14:00,공주,0.08450544
4,01-04 15:00,공주,0.08638268
4,01-04 16:00,공주,0.09221571
4,01-04 17:00,공주,0.0963075
4,01-04 18:00,공주,0.09749887
4,01-04 19:00,공주,0.11768456
4,01-04 20:00,공주,0.10194542
4,01-04 21:00,공주,0.105955824
4,01-04 22:00,공주,0.10235646
4,01-04 23:00,공주,0.115282476
4,01-05 00:00,공주,0.09457014
4,01-05 01:00,공주,0.09978385
4,01-05 02:00,공주,0.10367028
4,01-05 03:00,공주,0.10579992
4,01-05 04:00,공주,0.113168605
4,01-05 05:00,공주,0.09906172
4,01-05 06:00,공주,0.10779493
4,01-05 07:00,공주,0.1135064
4,01-05 08:00,공주,0.13018918
4,01-05 09:00,공주,0.12576945
4,01-05 10:00,공주,0.11396519
4,01-05 11:00,공주,0.09888329
