일자,WAR,WPA,Y_SCORE,SCORE,전일비,,등락률,OPS,Woba,Wrct
2023-05-12,3.53,-1.6,6,5,▼,-100,-1,0.668,0.319,95.2
2023-05-11,3.91,-1.12,6,6,▼,0,0,0.668,0.319,95.2
2023-05-10,3.53,-1.6,0,6,▼,-500,-5,0.668,0.319,95.2
2023-05-09,3.91,-1.12,5,0,▲,300,2,0.668,0.325,98.9
2023-05-08,3.53,-1.6,1,5,▼,-900,-1.43,0.668,0.319,95.2
2023-05-07,3.91,-1.12,3,1,▲,700,1.12,0.668,0.325,98.9
2023-05-06,3.53,-1.6,3,3,▲,"1,200",1.96,0.668,0.319,95.2
2023-05-05,3.91,-1.12,3,3,▲,800,1.33,0.668,0.325,98.9
2023-05-04,3.53,-1.6,2,3,▲,100,0.17,0.668,0.319,95.2
2023-05-03,3.91,-1.12,4,2,▼,"-1,100",-1.79,0.668,0.325,98.9
2023-05-02,3.53,-1.6,1,4,▲,"1,400",2.34,0.668,0.319,95.2
2023-05-01,3.91,-1.12,6,1,▲,100,0.17,0.668,0.325,98.9
2023-04-30,3.53,-1.6,0,6,▲,800,1.36,0.668,0.319,95.2
2023-04-29,3.91,-1.12,1,0,▼,"-1,000",-1.67,0.668,0.325,98.9
2023-04-28,3.53,-1.6,5,1,▲,500,0.84,0.668,0.319,95.2
2023-04-27,3.91,-1.12,10,5,▼,-600,-1,0.668,0.325,98.9
2023-04-26,3.53,-1.6,5,10,▼,-200,-0.33,0.668,0.319,95.2
2023-04-25,3.91,-1.12,6,5,▼,-400,-0.66,0.668,0.325,98.9
2023-04-24,3.53,-1.6,2,6,▼,-800,-1.3,0.668,0.319,95.2
2023-04-23,3.91,-1.12,10,2,▲,"1,000",1.65,0.668,0.325,98.9
2023-04-22,3.53,-1.6,1,10,▼,-300,-0.49,0.668,0.319,95.2
2023-04-21,3.91,-1.12,4,1,▲,200,0.33,0.668,0.325,98.9
2023-04-20,3.53,-1.6,2,4,▲,100,0.17,0.668,0.319,95.2
2023-04-19,3.91,-1.12,6,2,▼,-800,-1.31,0.668,0.325,98.9
2023-04-18,3.53,-1.6,3,6,▼,-700,-1.13,0.668,0.319,95.2
2023-04-17,3.91,-1.12,6,3,▲,900,1.47,0.668,0.325,98.9
2023-04-16,3.53,-1.6,4,6,▼,"-1,000",-1.61,0.668,0.319,95.2
2023-04-15,3.91,-1.12,6,4,▼,-600,-0.96,0.668,0.325,98.9
2023-04-14,3.53,-1.6,3,6,▲,100,0.16,0.668,0.319,95.2
2023-04-13,3.91,-1.12,1,3,▼,"-1,100",-1.73,0.668,0.325,98.9
2023-04-12,3.53,-1.6,0,1,▲,"1,500",2.41,0.668,0.319,95.2
2023-04-11,3.91,-1.12,12,0,▼,"-1,000",-1.58,0.668,0.325,98.9
2023-04-10,3.53,-1.6,2,12,▲,300,0.48,0.668,0.319,95.2
2023-04-09,3.91,-1.12,5,2,▲,100,0.16,0.668,0.325,98.9
2023-04-08,3.53,-1.6,1,5,▼,-200,-0.32,0.668,0.319,95.2
2023-04-07,3.91,-1.12,3,1,▼,-100,-0.16,0.668,0.325,98.9
2023-04-06,3.53,-1.6,10,3,▲,"1,200",1.94,0.668,0.319,95.2
2023-04-05,3.91,-1.12,5,10,▲,300,0.49,0.668,0.325,98.9
2023-04-04,3.53,-1.6,2,5,▼,"-2,200",-3.45,0.668,0.319,95.2
2023-04-03,3.91,-1.12,1,2,▲,300,0.47,0.668,0.325,98.9
2023-04-02,3.53,-1.6,3,1,▲,"1,700",2.75,0.668,0.319,95.2
2023-04-01,3.91,-1.12,0,3,▲,800,1.31,0.668,0.325,98.9
2023-03-31,3.53,-1.6,7,0,▼,"-2,300",-3.63,0.668,0.319,95.2
2023-03-30,3.91,-1.12,4,7,▼,"-1,300",-2.01,0.668,0.325,98.9
2023-03-29,3.53,-1.6,5,4,▲,700,1.1,0.668,0.319,95.2
2023-03-28,3.91,-1.12,6,5,▲,500,0.79,0.668,0.325,98.9
2023-03-27,3.53,-1.6,0,6,▲,"1,600",2.59,0.668,0.319,95.2
2023-03-26,3.91,-1.12,5,0,▲,300,0.49,0.668,0.325,98.9
2023-03-25,3.53,-1.6,1,5,▲,"1,100",1.82,0.668,0.319,95.2
2023-03-24,3.91,-1.12,3,1,▼,-600,-0.98,0.668,0.325,98.9
2023-03-23,3.53,-1.6,3,3,▼,-100,-0.16,0.668,0.319,95.2
2023-03-22,3.91,-1.12,3,3,▲,300,0.49,0.668,0.325,98.9
2023-03-21,3.53,-1.6,2,3,▲,300,0.5,0.668,0.319,95.2
2023-03-20,3.91,-1.12,4,2, ,0,0,0.668,0.325,98.9
2023-03-19,3.53,-1.6,1,4,▲,100,0.17,0.668,0.319,95.2
2023-03-18,3.91,-1.12,6,1,▼,-300,-0.49,0.668,0.325,98.9
2023-03-17,3.53,-1.6,0,6,▲,"1,700",2.88,0.668,0.319,95.2
2023-03-16,3.91,-1.12,1,0,▲,800,1.37,0.668,0.325,98.9
2023-03-15,3.53,-1.6,5,1,▲,400,0.69,0.668,0.319,95.2
2023-03-14,3.91,-1.12,10,5,▲,"2,400",4.33,0.668,0.325,98.9
2023-03-13,3.53,-1.6,5,10,▼,-100,-0.18,0.668,0.319,95.2
2023-03-12,3.91,-1.12,6,5,▲,200,0.36,0.668,0.325,98.9
2023-03-11,3.53,-1.6,2,6,▼,"-1,300",-2.3,0.668,0.319,95.2
2023-03-10,3.91,-1.12,10,2,▼,"-1,500",-2.58,0.668,0.325,98.9
2023-03-09,3.53,-1.6,1,10,▲,200,0.35,0.668,0.319,95.2
2023-03-08,3.91,-1.12,4,1,▼,-200,-0.34,0.668,0.325,98.9
2023-03-07,3.53,-1.6,2,4,▼,"-1,000",-1.69,0.668,0.319,95.2
2023-03-06,3.91,-1.12,6,2,▲,"1,100",1.9,0.668,0.325,98.9
2023-03-05,3.53,-1.6,3,6,▼,-600,-1.02,0.668,0.319,95.2
2023-03-04,3.91,-1.12,6,3,▼,-900,-1.51,0.668,0.325,98.9
2023-03-03,3.53,-1.6,4,6, ,0,0,0.668,0.319,95.2
2023-03-02,3.91,-1.12,6,4,▲,200,0.34,0.668,0.325,98.9
2023-03-01,3.53,-1.6,3,6,▼,"-1,200",-1.98,0.668,0.319,95.2
2023-02-28,3.91,-1.12,1,3,▲,800,1.34,0.668,0.325,98.9
2023-02-27,3.53,-1.6,0,1,▲,200,0.34,0.668,0.319,95.2
2023-02-26,3.91,-1.12,12,0,▼,-900,-1.49,0.668,0.325,98.9
2023-02-25,3.53,-1.6,2,12,▲,"1,200",2.03,0.668,0.319,95.2
2023-02-24,3.91,-1.12,5,2,▲,300,0.51,0.668,0.325,98.9
2023-02-23,3.53,-1.6,1,5,▼,-300,-0.51,0.668,0.319,95.2
2023-02-22,3.91,-1.12,3,1,▼,"-1,100",-1.82,0.668,0.325,98.9
2023-02-21,3.53,-1.6,10,3,▼,-100,-0.17,0.668,0.319,95.2
2023-02-20,3.91,-1.12,5,10,▼,"-2,200",-3.51,0.668,0.325,98.9
2023-02-19,3.53,-1.6,2,5,▲,400,0.64,0.668,0.319,95.2
2023-02-18,3.91,-1.12,1,2,▲,"1,600",2.64,0.668,0.325,98.9
2023-02-17,3.53,-1.6,3,1,▲,500,0.83,0.668,0.319,95.2
2023-02-16,3.91,-1.12,0,3,▼,-900,-1.48,0.668,0.325,98.9
2023-02-15,3.53,-1.6,7,0,▼,-400,-0.65,0.668,0.319,95.2
2023-02-14,3.91,-1.12,4,7,▲,400,0.66,0.668,0.325,98.9
2023-02-13,3.53,-1.6,5,4,▲,400,0.66,0.668,0.319,95.2
2023-02-12,3.91,-1.12,6,5,▼,-800,-1.3,0.668,0.325,98.9
2023-02-11,3.53,-1.6,0,6,▼,-400,-0.65,0.668,0.319,95.2
2023-02-10,3.91,-1.12,5,0,▲,400,0.65,0.668,0.325,98.9
2023-02-09,3.53,-1.6,1,5,▼,"-1,300",-2.07,0.668,0.319,95.2
2023-02-08,3.91,-1.12,3,1,▲,300,0.48,0.668,0.325,98.9
2023-02-07,3.53,-1.6,3,3,▲,500,0.81,0.668,0.319,95.2
2023-02-06,3.91,-1.12,3,3,▼,"-1,000",-1.59,0.668,0.325,98.9
2023-02-05,3.53,-1.6,2,3,▲,"2,500",4.14,0.668,0.319,95.2
2023-02-04,3.91,-1.12,4,2,▼,"-1,600",-2.58,0.668,0.325,98.9
2023-02-03,3.53,-1.6,1,4,▲,200,0.32,0.668,0.319,95.2
2023-02-02,3.91,-1.12,6,1,▲,"1,600",2.66,0.668,0.325,98.9
2023-02-01,3.53,-1.6,0,6,▲,800,1.35,0.668,0.319,95.2
2023-01-31,3.91,-1.12,1,0,▲,200,0.34,0.668,0.325,98.9
2023-01-30,3.53,-1.6,5,1,▼,-400,-0.67,0.668,0.319,95.2
2023-01-29,3.91,-1.12,10,5,▼,-400,-0.67,0.668,0.325,98.9
2023-01-28,3.53,-1.6,5,10,▲,600,1.01,0.668,0.319,95.2
2023-01-27,3.91,-1.12,6,5,▲,"2,100",3.66,0.668,0.325,98.9
2023-01-26,3.53,-1.6,2,6,▼,"-2,200",-3.7,0.668,0.319,95.2
2023-01-25,3.91,-1.12,10,2,▲,100,0.17,0.668,0.325,98.9
2023-01-24,3.53,-1.6,1,10,▲,"1,700",2.95,0.668,0.319,95.2
2023-01-23,3.91,-1.12,4,1,▲,200,0.35,0.668,0.325,98.9
2023-01-22,3.53,-1.6,2,4,▲,"1,600",2.86,0.668,0.319,95.2
2023-01-21,3.91,-1.12,6,2,▲,400,0.72,0.668,0.325,98.9
2023-01-20,3.53,-1.6,3,6,▼,-300,-0.54,0.668,0.319,95.2
2023-01-19,3.91,-1.12,6,3,▼,-700,-1.24,0.668,0.325,98.9
2023-01-18,3.53,-1.6,4,6,▼,-100,-0.18,0.668,0.319,95.2
2023-01-17,3.91,-1.12,6,4,▲,300,0.53,0.668,0.325,98.9
2023-01-16,3.53,-1.6,3,6,▲,"1,100",1.99,0.668,0.319,95.2
2023-01-15,3.91,-1.12,1,3,▼,-600,-1.08,0.668,0.325,98.9
2023-01-14,3.53,-1.6,0,1,▲,400,0.72,0.668,0.319,95.2
2023-01-13,3.91,-1.12,12,0,▼,-800,-1.42,0.668,0.325,98.9
2023-01-12,3.53,-1.6,2,12,▼,-100,-0.18,0.668,0.319,95.2
2023-01-11,3.91,-1.12,5,2,▲,300,0.54,0.668,0.325,98.9
2023-01-10,3.53,-1.6,1,5,▲,800,1.45,0.668,0.319,95.2
2023-01-09,3.91,-1.12,3,1,▲,"2,100",3.95,0.668,0.325,98.9
2023-01-08,3.53,-1.6,10,3,▲,500,0.95,0.668,0.319,95.2
2023-01-07,3.91,-1.12,5,10,▼,-300,-0.57,0.668,0.325,98.9
2023-01-06,3.53,-1.6,2,5,▼,"-1,300",-2.4,0.668,0.319,95.2
2023-01-05,3.91,-1.12,1,2,▲,300,0.56,0.668,0.325,98.9
2023-01-04,3.53,-1.6,3,1,▼,-600,-1.1,0.668,0.319,95.2
2023-01-03,3.91,-1.12,0,3,▲,100,0.18,0.668,0.325,98.9
2023-01-02,3.53,-1.6,7,0,▼,-900,-1.63,0.668,0.319,95.2
2023-01-01,3.91,-1.12,4,7,▼,-500,-0.9,0.668,0.325,98.9
2022-12-31,3.53,-1.6,5,4,▼,-600,-1.06,0.668,0.319,95.2
2022-12-30,3.91,-1.12,6,5,▲,200,0.36,0.668,0.325,98.9
2022-12-29,3.53,-1.6,0,6,▲,200,0.36,0.668,0.319,95.2
2022-12-28,3.91,-1.12,5,0,▼,-800,-1.41,0.668,0.325,98.9
2022-12-27,3.53,-1.6,1,5,▼,"-1,300",-2.24,0.668,0.319,95.2
2022-12-26,3.91,-1.12,3,1,▲,"2,500",4.5,0.668,0.325,98.9
2022-12-25,3.53,-1.6,3,3,▼,-400,-0.71,0.668,0.319,95.2
2022-12-24,3.91,-1.12,3,3,▼,"-1,100",-1.93,0.668,0.325,98.9
2022-12-23,3.53,-1.6,2,3, ,0,0,0.668,0.319,95.2
2022-12-22,3.91,-1.12,4,2,▼,-400,-0.7,0.668,0.325,98.9
2022-12-21,3.53,-1.6,1,4,▼,-900,-1.54,0.668,0.319,95.2
2022-12-20,3.91,-1.12,6,1,▼,"-1,300",-2.18,0.668,0.325,98.9
2022-12-19,3.53,-1.6,0,6,▲,900,1.53,0.668,0.319,95.2
2022-12-18,3.91,-1.12,1,0,▲,200,0.34,0.668,0.325,98.9
2022-12-17,3.53,-1.6,5,1,▼,"-1,400",-2.33,0.668,0.319,95.2
2022-12-16,3.91,-1.12,10,5,▲,300,0.5,0.668,0.325,98.9
2022-12-15,3.53,-1.6,5,10,▲,700,1.19,0.668,0.319,95.2
2022-12-14,3.91,-1.12,6,5,▼,-100,-0.17,0.668,0.325,98.9
2022-12-13,3.53,-1.6,2,6,▼,-900,-1.5,0.668,0.319,95.2
2022-12-12,3.91,-1.12,10,2,▼,-900,-1.48,0.668,0.325,98.9
2022-12-11,3.53,-1.6,1,10,▼,-600,-0.98,0.668,0.319,95.2
2022-12-10,3.91,-1.12,4,1,▲,"1,100",1.82,0.668,0.325,98.9
2022-12-09,3.53,-1.6,2,4,▼,-600,-0.98,0.668,0.319,95.2
2022-12-08,3.91,-1.12,6,2,▲,800,1.33,0.668,0.325,98.9
2022-12-07,3.53,-1.6,3,6,▲,300,0.5,0.668,0.319,95.2
2022-12-06,3.91,-1.12,6,3,▲,800,1.35,0.668,0.325,98.9
2022-12-05,3.53,-1.6,4,6,▼,-900,-1.5,0.668,0.319,95.2
2022-12-04,3.91,-1.12,6,4,▼,-800,-1.32,0.668,0.325,98.9
2022-12-03,3.53,-1.6,3,6,▼,-700,-1.14,0.668,0.319,95.2
2022-12-02,3.91,-1.12,1,3, ,0,0,0.668,0.325,98.9
2022-12-01,3.53,-1.6,0,1,▲,200,0.33,0.668,0.319,95.2
2022-11-30,3.91,-1.12,12,0,▼,-400,-0.65,0.668,0.325,98.9
2022-11-29,3.53,-1.6,2,12,▲,400,0.65,0.668,0.319,95.2
2022-11-28,3.91,-1.12,5,2,▼,-100,-0.16,0.668,0.325,98.9
2022-11-27,3.53,-1.6,1,5,▼,-500,-0.81,0.668,0.319,95.2
2022-11-26,3.91,-1.12,3,1,▲,100,0.16,0.668,0.325,98.9
2022-11-25,3.53,-1.6,10,3,▲,100,0.16,0.668,0.319,95.2
2022-11-24,3.91,-1.12,5,10,▲,600,0.98,0.668,0.325,98.9
2022-11-23,3.53,-1.6,2,5,▼,-200,-0.33,0.668,0.319,95.2
2022-11-22,3.91,-1.12,1,2,▼,-500,-0.81,0.668,0.325,98.9
2022-11-21,3.53,-1.6,3,1,▲,"1,300",2.15,0.668,0.319,95.2
2022-11-20,3.91,-1.12,0,3,▼,-400,-0.66,0.668,0.325,98.9
2022-11-19,3.53,-1.6,7,0,▼,"-1,000",-1.62,0.668,0.319,95.2
2022-11-18,3.91,-1.12,4,7,▲,"1,900",3.17,0.668,0.325,98.9
2022-11-17,3.53,-1.6,5,4,▲,"2,500",4.35,0.668,0.319,95.2
2022-11-16,3.91,-1.12,6,5,▼,-500,-0.86,0.668,0.325,98.9
2022-11-15,3.53,-1.6,0,6,▼,-100,-0.17,0.668,0.319,95.2
2022-11-14,3.91,-1.12,5,0,▼,-700,-1.19,0.668,0.325,98.9
2022-11-13,3.53,-1.6,1,5,▲,100,0.17,0.668,0.319,95.2
2022-11-12,3.91,-1.12,3,1,▲,500,0.86,0.668,0.325,98.9
2022-11-11,3.53,-1.6,3,3,▲,"1,800",3.19,"21,322,833",0.319,95.2
2022-11-10,3.91,-1.12,3,3,▼,-800,-1.4,"16,820,461",0.325,98.9
2022-11-09,3.53,-1.6,2,3,▲,100,0.18,"14,216,539",0.319,95.2
2022-11-08,3.91,-1.12,4,2,▲,900,1.6,"17,807,126",0.325,98.9
2022-11-07,3.53,-1.6,1,4,▼,-800,-1.4,"24,982,097",0.319,95.2
2022-11-06,3.91,-1.12,6,1,▼,"-1,000",-1.72,"18,915,142",0.325,98.9
2022-11-05,3.53,-1.6,0,6,▼,"-1,400",-2.36,"14,677,138",0.319,95.2
2022-11-04,3.91,-1.12,1,0,▲,600,1.02,"13,540,538",0.325,98.9
2022-11-03,3.53,-1.6,5,1,▲,400,0.68,"18,122,236",0.319,95.2
2022-11-02,3.91,-1.12,10,5,▲,"1,000",1.74,"23,256,103",0.325,98.9
2022-11-01,3.53,-1.6,5,10,▼,-200,-0.35,"28,338,608",0.319,95.2
2022-10-31,3.91,-1.12,6,5,▼,-900,-1.54,"23,334,687",0.325,98.9
2022-10-30,3.53,-1.6,2,6,▼,-200,-0.34,"25,148,109",0.319,95.2
2022-10-29,3.91,-1.12,10,2,▼,"-1,100",-1.84,"34,111,306",0.325,98.9
2022-10-28,3.53,-1.6,1,10,▼,"-1,100",-1.81,"29,053,450",0.319,95.2
2022-10-27,3.91,-1.12,4,1,▲,200,0.33,"23,394,895",0.325,98.9
2022-10-26,3.53,-1.6,2,4,▼,"-1,200",-1.94,"26,811,224",0.319,95.2
2022-10-25,3.91,-1.12,6,2,▼,-200,-0.32,"24,606,419",0.325,98.9
2022-10-24,3.53,-1.6,3,6,▼,"-1,700",-2.66,"22,157,816",0.319,95.2
2022-10-23,3.91,-1.12,6,3,▼,"-1,400",-2.15,"22,193,552",0.325,98.9
2022-10-22,3.53,-1.6,4,6,▼,-100,-0.15,"25,790,725",0.319,95.2
2022-10-21,3.91,-1.12,6,4,▼,-200,-0.31,"12,483,180",0.325,98.9
2022-10-20,3.53,-1.6,3,6,▼,"-1,300",-1.95,"19,355,755",0.319,95.2
2022-10-19,3.91,-1.12,1,3,▲,100,0.15,"8,222,883",0.325,98.9
2022-10-18,3.53,-1.6,0,1,▼,-700,-1.04,"14,959,443",0.319,95.2
2022-10-17,3.91,-1.12,12,0,▼,-300,-0.44,"24,365,002",0.325,98.9
2022-10-16,3.53,-1.6,2,12,▲,"1,200",1.8,"14,255,484",0.319,95.2
2022-10-15,3.91,-1.12,5,2,▲,600,0.91,"11,405,555",0.325,98.9
2022-10-14,3.53,-1.6,1,5,▼,-500,-0.75,"15,970,890",0.319,95.2
2022-10-13,3.91,-1.12,3,1,▼,-100,-0.15,"15,150,490",0.325,98.9
2022-10-12,3.53,-1.6,10,3,▼,"-1,400",-2.06,"15,482,576",0.319,95.2
2022-10-11,3.91,-1.12,5,10,▼,-100,-0.15,"13,684,088",0.325,98.9
2022-10-10,3.53,-1.6,2,5,▲,500,0.74,"12,109,671",0.319,95.2
2022-10-09,3.91,-1.12,1,2,▼,-600,-0.88,"17,073,727",0.325,98.9
2022-10-08,3.53,-1.6,3,1,▲,500,0.74,"16,486,319",0.319,95.2
2022-10-07,3.91,-1.12,0,3,▲,"1,300",1.96,"15,680,447",0.325,98.9
2022-10-06,3.53,-1.6,7,0,▼,-200,-0.3,"11,937,555",0.319,95.2
2022-10-05,3.91,-1.12,4,7,▲,"1,600",2.47,"14,551,536",0.325,98.9
2022-10-04,3.53,-1.6,5,4,▼,-800,-1.22,"16,414,188",0.319,95.2
2022-10-03,3.91,-1.12,6,5, ,0,0,"12,330,920",0.325,98.9
2022-10-02,3.53,-1.6,0,6,▼,-400,-0.61,"17,235,605",0.319,95.2
2022-10-01,3.91,-1.12,5,0,▼,-400,-0.6,"11,858,736",0.325,98.9
2022-09-30,3.53,-1.6,1,5,▼,"-1,400",-2.06,"14,356,156",0.319,95.2
2022-09-29,3.91,-1.12,3,1,▲,400,0.59,"11,505,248",0.325,98.9
2022-09-28,3.53,"68,400",3,3,▲,200,0.3,"14,168,875",0.319,95.2
2022-09-27,3.91,"67,600",3,3,▼,-100,-0.15,"14,106,184",0.325,98.9
2022-09-26,3.53,"67,600",2,3,▲,"2,600",4.01,"26,190,390",0.319,95.2
2022-09-25,3.91,"65,500",4,2,▼,-200,-0.31,"16,895,527",0.325,98.9
2022-09-24,3.53,"65,500",1,4,▼,"-1,100",-1.66,"18,122,084",0.319,95.2
2022-09-23,3.91,"66,700",6,1,▼,-200,-0.3,"12,946,923",0.325,98.9
2022-09-22,3.53,"66,700",0,6,▼,-700,-1.04,"11,016,474",0.319,95.2
2022-09-21,3.91,"67,300",1,0,▼,-700,-1.03,"11,791,478",0.325,98.9
2022-09-20,3.53,"68,300",5,1,▲,300,0.45,"12,847,448",0.319,95.2
2022-09-19,3.91,"67,400",10,5,▲,100,0.15,"16,693,293",0.325,98.9
2022-09-18,3.53,"68,000",5,10,▲,600,0.9,"12,959,434",0.319,95.2
2022-09-17,3.91,"67,100",6,5,▲,100,0.15,"10,119,203",0.325,98.9
2022-09-16,3.53,"67,300",2,6,▼,-900,-1.33,"13,176,415",0.319,95.2
2022-09-15,3.91,"68,700",10,2,▼,"-1,200",-1.75,"16,409,494",0.325,98.9
2022-09-14,3.53,"69,000",1,10,▲,"1,700",2.54,"17,378,619",0.319,95.2
2022-09-13,3.91,"67,700",4,1,▼,-900,-1.33,"13,924,389",0.325,98.9
2022-09-12,"67,800","68,100",2,4,▲,100,0.15,"12,263,735",0.319,95.2
2022-09-11,"68,100","68,300",6,2,▼,-200,-0.29,"15,453,191",0.325,98.9
2022-09-10,"68,500","68,500",3,6,▼,-500,-0.73,"20,683,327",0.319,95.2
2022-09-09,"68,600","68,800",6,3,▼,-700,-1.01,"15,517,308",0.325,98.9
2022-09-08,"69,400","69,600",4,6,▼,-100,-0.14,"8,467,248",0.319,95.2
2022-09-07,"68,900","69,300",6,4,▲,200,0.29,"11,107,905",0.325,98.9
2022-09-06,"69,500","69,500",3,6,▼,-500,-0.72,"15,916,846",0.319,95.2
2022-09-05,"69,900","70,200",1,3,▼,-300,-0.43,"12,510,366",0.325,98.9
2022-09-04,"70,300","70,500",0,1,▼,-300,-0.43,"12,670,187",0.319,95.2
2022-09-03,"70,000","70,300",12,0,▲,500,0.72,"13,686,208",0.325,98.9
2022-09-02,"69,500","69,900",2,12,▼,-100,-0.14,"12,619,289",0.319,95.2
2022-09-01,"70,100","70,200",5,2, ,0,0,"12,986,010",0.325,98.9
2022-08-31,"69,600","70,300",1,5,▼,-700,-0.99,"37,943,357",0.319,95.2
2022-08-30,"70,600","71,200",3,1,▲,200,0.28,"12,398,025",0.325,98.9
2022-08-29,"69,900","70,500",10,3,▲,400,0.57,"9,402,666",0.319,95.2
