일자,WAR,WPA,Y_SCORE,SCORE,전일비,,등락률,OPS,Woba,Wrct
2023-05-10,1.48,-2.62,5,4,▼,-900,-1.43,0.619,0.299,78.7
2023-03-24,"62,700","63,300",3,5,▲,700,1.12,"18,278,602","1,147,805",0.09
2023-03-23,"60,600","62,300",4,3,▲,"1,200",1.96,"15,381,057","946,394",0.09
2023-03-22,"61,000","61,200",5,4,▲,800,1.33,"8,978,591","546,787",0.09
2023-03-21,"60,500","60,700",6,5,▲,100,0.17,"8,318,514","501,918",0.08
2023-03-20,"61,100","61,200",3,6,▼,"-1,100",-1.79,"9,618,009","582,446",0.09
2023-03-17,"60,800","61,300",3,3,▲,"1,400",2.34,"14,090,110","860,201",0.09
2023-03-16,"59,200","60,200",2,3,▲,100,0.17,"10,611,939","633,332",0.1
2023-03-15,"60,000","60,300",5,2,▲,800,1.36,"10,482,149","628,406",0.1
2023-03-14,"59,400","59,500",2,5,▼,"-1,000",-1.67,"12,147,346","719,193",0.1
2023-03-13,"59,900","60,200",4,2,▲,500,0.84,"12,779,724","765,245",0.1
2023-03-10,"59,500","59,700",2,4,▼,-600,-1,"11,902,471","706,236",0.1
2023-03-09,"60,500","60,800",5,2,▼,-200,-0.33,"14,334,499","862,952",0.08
2023-03-08,"60,100","60,500",3,5,▼,-400,-0.66,"14,161,857","851,969",0.08
2023-03-07,"61,400","61,400",4,3,▼,-800,-1.3,"11,473,280","698,906",0.08
2023-03-06,"61,100","61,600",5,4,▲,"1,000",1.65,"13,630,602","835,008",0.08
2023-03-03,"61,000","61,200",6,5,▼,-300,-0.49,"10,711,405","649,938",0.08
2023-03-02,"60,900","61,800",3,6,▲,200,0.33,"13,095,682","798,787",0.08
2023-02-28,"60,800","61,400",3,3,▲,100,0.17,"13,715,861","834,903",0.08
2023-02-27,"60,800","60,800",2,3,▼,-800,-1.31,"11,155,697","674,293",0.08
2023-02-24,"62,300","62,600",5,2,▼,-700,-1.13,"10,308,143","638,634",0.08
2023-02-23,"61,700","62,500",2,5,▲,900,1.47,"13,047,099","809,465",0.08
2023-02-22,"61,500","61,800",4,2,▼,"-1,000",-1.61,"11,959,088","732,239",0.08
2023-02-21,"62,700","62,800",2,4,▼,-600,-0.96,"7,665,046","476,712",0.08
2023-02-20,"62,900","63,000",5,2,▲,100,0.16,"12,908,073","806,199",0.08
2023-02-17,"62,900","63,300",3,5,▼,"-1,100",-1.73,"10,791,265","677,810",0.08
2023-02-16,"62,500","63,700",4,3,▲,"1,500",2.41,"13,798,831","873,760",0.08
2023-02-15,"63,900","63,900",5,4,▼,"-1,000",-1.58,"13,208,103","826,031",0.08
2023-02-14,"63,600","63,900",6,5,▲,300,0.48,"9,126,664","579,858",0.08
2023-02-13,"62,900","63,000",3,6,▲,100,0.16,"10,730,362","672,253",0.08
2023-02-10,"62,600","63,000",3,3,▼,-200,-0.32,"9,382,576","587,898",0.08
2023-02-09,"63,000","63,300",2,3,▼,-100,-0.16,"12,164,865","764,921",0.08
2023-02-08,"62,800","63,300",5,2,▲,"1,200",1.94,"12,243,125","770,473",0.08
2023-02-07,"61,900","62,500",2,5,▲,300,0.49,"14,491,039","898,617",0.08
2023-02-06,"62,800","63,000",4,2,▼,"-2,200",-3.45,"15,529,356","967,890",0.08
2023-02-03,"63,900","64,000",2,4,▲,300,0.47,"15,194,598","967,336",0.09
