index,quality
0,6
1,5
2,6
3,5
4,6
5,6
6,5
7,6
8,6
9,7
10,6
11,5
12,7
13,6
14,5
15,5
16,6
17,7
18,6
19,5
20,6
21,6
22,5
23,7
24,6
25,4
26,4
27,5
28,5
29,6
30,7
31,6
32,4
33,5
34,5
35,6
36,5
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,7
46,5
47,6
48,4
49,6
50,5
51,5
52,5
53,4
54,4
55,6
56,6
57,6
58,5
59,6
60,5
61,6
62,5
63,4
64,6
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,5
74,6
75,5
76,6
77,6
78,6
79,6
80,5
81,6
82,5
83,5
84,6
85,5
86,5
87,5
88,6
89,5
90,6
91,6
92,4
93,5
94,5
95,7
96,6
97,6
98,6
99,6
100,5
101,5
102,5
103,5
104,5
105,5
106,6
107,6
108,6
109,5
110,5
111,6
112,6
113,5
114,5
115,6
116,5
117,7
118,6
119,6
120,6
121,4
122,6
123,6
124,6
125,5
126,6
127,6
128,6
129,5
130,5
131,5
132,5
133,6
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,6
142,6
143,5
144,5
145,5
146,7
147,6
148,6
149,6
150,6
151,7
152,4
153,5
154,6
155,5
156,5
157,5
158,6
159,4
160,5
161,6
162,6
163,7
164,6
165,6
166,6
167,6
168,5
169,5
170,5
171,5
172,6
173,4
174,6
175,6
176,5
177,5
178,5
179,5
180,6
181,5
182,5
183,7
184,4
185,6
186,6
187,6
188,5
189,6
190,6
191,6
192,6
193,6
194,6
195,5
196,7
197,5
198,6
199,5
200,6
201,5
202,6
203,5
204,5
205,5
206,6
207,4
208,6
209,6
210,7
211,5
212,5
213,6
214,6
215,5
216,5
217,4
218,6
219,7
220,6
221,5
222,6
223,6
224,7
225,6
226,5
227,5
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,6
237,6
238,6
239,7
240,6
241,6
242,6
243,5
244,7
245,6
246,5
247,6
248,6
249,6
250,5
251,6
252,7
253,5
254,6
255,5
256,6
257,7
258,7
259,6
260,6
261,5
262,5
263,7
264,6
265,5
266,6
267,5
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,5
277,7
278,5
279,5
280,6
281,5
282,4
283,6
284,7
285,5
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,4
295,7
296,7
297,5
298,5
299,7
300,7
301,5
302,4
303,6
304,6
305,5
306,5
307,7
308,5
309,5
310,6
311,6
312,5
313,5
