,인허가일자,영업상태구분코드,영업상태명,상세영업상태명,폐업일자,소재지전화,지역명,사업장명,,지역명,관광지출액,전년도 관광지출액,검색건수,전년도 검색건수,방문자수,전년도 방문자수
1,2005-08-29,2,휴업,휴업,,,강원도 고성군 토성면 용촌리 601-1,주성관광펜션,,서울특별시,1.23291E+13,9.47381E+12,76632447,59497381,574138421,493650524
2,2007-01-09,2,휴업,휴업,,033-636-4773,강원도 고성군 토성면 용촌리 601-4,제이에스관광펜션,,부산광역시,3.11882E+12,2.48189E+12,24919980,18595551,141850354,126828840
3,2008-11-19,2,휴업,휴업,,033-632-6363,강원도 고성군 토성면 인흥리 632-1,파인로그펜션,,대구광역시,1.81544E+12,1.4677E+12,13637636,9711560,101341517,88575125
4,2015-02-11,2,휴업,휴업,,033-632-5156,강원도 고성군 죽왕면 문암진리 81-25번지,밴쿠버콘도텔,,인천광역시,1.83916E+12,1.39647E+12,30210191,22227083,162791200,137962498
5,2009-07-07,2,휴업,휴업,,,충청북도 제천시 청풍면 교리 227-6번지,플로리안관광펜션(김 면),,광주광역시,9.68642E+11,8.38766E+11,7208795,5223721,65003241,57110556
6,2014-11-19,3,폐업,폐업,2017-09-08,,경상북도 경주시 하동,메리골드 펜션,,대전광역시,1.56418E+12,1.03389E+12,9953080,6530115,77445462,69948254
7,2014-11-19,3,폐업,폐업,2017-09-07,,경상북도 경주시 시래동,아띠 펜션,,울산광역시,5.6883E+11,4.70253E+11,6665620,5137945,47583356,43702315
8,2017-09-05,3,폐업,폐업,2018-08-02,,경상북도 경주시 하동 656-39번지,비버리 펜션,,세종특별자치시,1.02045E+11,92225661496,3291127,2455032,27167587,25755465
9,2017-09-05,3,폐업,폐업,2018-08-02,,경상북도 경주시 하동 656-9번지,비버리 힐,,경기도,9.56976E+12,8.12176E+12,164735536,125930625,614719516,557003044
10,2015-07-01,3,폐업,폐업,2022-11-24,,충청남도 보령시 신흑동 2303-6,대천바다여행펜션,,강원도,1.38325E+12,1.17329E+12,48248002,40225081,155688787,135732749
11,2016-06-29,3,폐업,폐업,2017-09-12,,충청남도 보령시 신흑동 2228-1번지,대천릴렉스펜션,,충청북도,1.05721E+12,9.1643E+11,15577199,11758149,109409660,98004355
12,2017-08-07,3,폐업,폐업,2019-01-09,,충청남도 보령시 신흑동 2305-2번지,또바기 펜션,,충청남도,1.19709E+12,1.0213E+12,25053483,19144715,160518006,145079713
13,2012-11-01,3,폐업,폐업,2013-09-30,,충청남도 예산군 덕산면 사동리 108-2번지,초콜릿러브,,전라북도,7.9079E+11,7.51576E+11,14751808,11281658,96078088,84962410
14,2007-10-11,3,폐업,폐업,,041-673-5513,충청남도 태안군 고남면 고남리 486-4번지,아틀랜틱 오션,,전라남도,9.77193E+11,8.36962E+11,17521420,14348329,128349337,116892683
15,2007-02-27,3,폐업,폐업,2014-12-09,,충청남도 태안군 남면 양잠리 1232-33번지,썬셋,,경상북도,1.30426E+12,1.1407E+12,23748525,18808015,180584844,164344571
16,2011-08-12,3,폐업,폐업,2020-01-28,041-632-8697,충청남도 홍성군 서부면 남당리 384-3번지,남당 로뎀 펜션,,경상남도,1.5664E+12,1.34349E+12,27643206,22068720,152146144,142703820
17,2008-12-23,3,폐업,폐업,2022-11-11,,충청남도 태안군 원북면 청산리 87-54,풍경,,제주특별자치도,1.2231E+12,1.1146E+12,20157548,20990171,67612046,63694287
18,2008-09-17,3,폐업,폐업,2020-11-05,,충청남도 태안군 남면 몽산리 680-2,마리나비치,,,,,,,,
19,2009-01-16,3,폐업,폐업,2017-01-13,,충청남도 태안군 남면 신온리 833-109번지,골든 웨이브,,,,,,,,
20,2009-05-14,3,폐업,폐업,2017-03-31,,충청남도 태안군 남면 원청리 558-4번지,시에스타,,,,,,,,
21,2009-01-16,3,폐업,폐업,2017-09-18,041-675-6300,충청남도 태안군 남면 신온리 833-170번지,노을빛풍경,,,,,,,,
22,2010-06-08,3,폐업,폐업,2019-05-16,,충청남도 태안군 남면 양잠리 1230-33번지,그림일기,,,,,,,,
23,2007-02-27,3,폐업,폐업,2014-12-09,,충청남도 태안군 남면 양잠리 1232-7번지,쉘브르,,,,,,,,
24,2017-08-28,3,폐업,폐업,2019-05-16,,충청남도 태안군 남면 양잠리 1230-28번지,파티파티,,,,,,,,
25,2018-05-27,3,폐업,폐업,2020-02-10,,충청남도 태안군 고남면 고남리 829번지,안면도갤러리,,,,,,,,
26,2012-06-12,3,폐업,폐업,2019-04-11,,충청남도 태안군 남면 달산리 319-23번지 숙박시설,그람피하우스,,,,,,,,
27,2010-09-01,3,폐업,폐업,2014-12-11,041-675-6567,충청남도 태안군 남면 양잠리 1230-14번지,샤론,,,,,,,,
28,2010-10-15,3,폐업,폐업,2014-09-16,041-675-5890,충청남도 태안군 남면 신온리 323-9번지,지오랜드,,,,,,,,
29,2011-09-07,3,폐업,폐업,2021-02-01,041-675-0059,충청남도 태안군 남면 원청리 512-135,더클래식,,,,,,,,
30,2018-12-27,3,폐업,폐업,2019-11-19,,인천광역시 강화군 하점면 장정리 479-1번지,고인돌펜션,,,,,,,,
31,2019-01-25,3,폐업,폐업,2019-12-24,,경상남도 거제시 동부면 학동리 123-5번지,블루인블루펜션,,,,,,,,
32,2004-10-27,3,폐업,폐업,2017-09-07,775-7750,경상북도 경주시 감포읍 감포리 549-1번지 2리,하얀둥지관광펜션,,,,,,,,
33,2010-12-09,3,폐업,폐업,2017-09-07,054-744-9090,경상북도 경주시 보문동 531-3번지,KB펜션,,,,,,,,
34,2010-12-28,3,폐업,폐업,2017-08-28,054-777-5266,경상북도 경주시 하동 254-2번지,올리브하우스,,,,,,,,
35,2011-01-18,3,폐업,폐업,2014-12-17,,경상북도 경주시 내남면 안심리 416번지,하늘터밭,,,,,,,,
36,2011-03-08,3,폐업,폐업,2017-09-06,,경상북도 경주시 구정동 17번지,오아시스,,,,,,,,
37,2011-04-20,3,폐업,폐업,2017-09-08,742-2432,경상북도 경주시 외동읍 신계리 816-1번지,퓨어펜션,,,,,,,,
38,2011-06-09,3,폐업,폐업,2015-02-25,054-771-0755,경상북도 경주시 천군동 862-14번지,아띠무아,,,,,,,,
39,2011-08-31,3,폐업,폐업,2015-03-16,,경상북도 경주시 양남면 신대리 461-1번지,워너비,,,,,,,,
40,2006-10-17,3,폐업,폐업,2017-09-06,742-2207,경상북도 경주시 하동 502-3번지,라끄베르펜션,,,,,,,,
41,2009-06-17,3,폐업,폐업,2017-09-15,774-7563,경상북도 경주시 내남면 노곡리 115-4번지,남산자락펜션,,,,,,,,
42,2010-02-23,3,폐업,폐업,2017-09-14,772-5959,경상북도 경주시 하동 193번지,첨성대관광펜션,,,,,,,,
43,2010-02-23,3,폐업,폐업,2017-08-25,745-0350,경상북도 경주시 하동 748-10번지,엉클톰스케빈 관광펜션,,,,,,,,
44,2010-02-23,3,폐업,폐업,2017-06-16,772-7728,경상북도 경주시 하동 253-1번지,아델리아 관광펜션,,,,,,,,
45,2010-06-07,3,폐업,폐업,2017-09-08,,경상북도 경주시 황용동 25-1번지,자연향기 펜션,,,,,,,,
46,2010-06-07,3,폐업,폐업,2017-09-08,,경상북도 경주시 하동 654번지,폴라리스 펜션,,,,,,,,
47,2010-06-07,3,폐업,폐업,2017-09-08,,경상북도 경주시 진현동 449번지,노비오스 펜션,,,,,,,,
48,2010-06-07,3,폐업,폐업,2016-09-26,,경상북도 경주시 하동 253번지,베네치아 펜션,,,,,,,,
49,2010-06-07,3,폐업,폐업,2012-01-17,741-5353,경상북도 경주시 천군동 449번지,보문호수 펜션,,,,,,,,
50,2010-08-10,3,폐업,폐업,2017-08-02,054-741-6469,경상북도 경주시 하동 124-3번지,풍차펜션,,,,,,,,
51,2010-10-09,3,폐업,폐업,2017-09-08,,경상북도 경주시 천군동 1444-2번지,뉴월드펜션,,,,,,,,
52,2010-10-09,3,폐업,폐업,2017-09-08,,경상북도 경주시 천군동 1444-6번지,보문월드펜션,,,,,,,,
53,2010-10-09,3,폐업,폐업,2017-09-08,,경상북도 경주시 천군동 1444-6번지,보문레이크펜션,,,,,,,,
54,2011-11-24,3,폐업,폐업,2015-03-02,,경상북도 경주시 구정동 292-5번지,경주 통나무 펜션,,,,,,,,
55,2012-01-09,3,폐업,폐업,2013-05-22,,경상북도 경주시 마동 507번지,자연주의 펜션,,,,,,,,
56,2010-10-29,3,폐업,폐업,2016-12-27,,경상북도 경주시 하동 115-3번지,하늘호수,,,,,,,,
57,2010-11-08,3,폐업,폐업,2015-12-04,741-7973,경상북도 경주시 양남면 읍천리 342-4번지,바다풍경펜션,,,,,,,,
58,2012-10-11,3,폐업,폐업,2017-09-06,054-777-2001,경상북도 경주시 마동 182-16번지,파비앙,,,,,,,,
59,2012-10-25,3,폐업,폐업,2017-09-07,774-3966,경상북도 경주시 하동 256-2번지,보문해피데이,,,,,,,,
60,2012-11-06,3,폐업,폐업,2017-09-13,,경상북도 경주시 양남면 수렴리 83번지,리멤버,,,,,,,,
61,2013-10-08,3,폐업,폐업,2017-09-06,,경상북도 경주시 하동 740-6번지,펜션 프라하,,,,,,,,
62,2013-11-14,3,폐업,폐업,2017-09-08,,경상북도 경주시 하동 83-13번지,다람쥐와도토리 펜션,,,,,,,,
63,2014-06-18,3,폐업,폐업,2015-12-02,547438389,경상북도 경주시 진현동,설레임스토리,,,,,,,,
64,2014-06-18,3,폐업,폐업,2015-02-17,547776104,경상북도 경주시 하동,두번째설레임,,,,,,,,
65,2014-07-16,3,폐업,폐업,2017-09-04,547466428,경상북도 경주시 하동,띠아모펜션,,,,,,,,
66,2014-03-07,3,폐업,폐업,2015-07-24,,경상북도 울릉군 울릉읍 사동리 383-18번지,울릉관광펜션,,,,,,,,
67,2011-06-13,3,폐업,폐업,2017-09-15,,경상북도 의성군 다인면 달제리 326-1번지,위드파크,,,,,,,,
68,2014-03-21,3,폐업,폐업,2016-04-07,054-873-9905,경상북도 청송군 부동면 하의리 220-1번지,탄해와로라,,,,,,,,
69,2014-07-21,3,폐업,폐업,2015-10-20,032-761-1950,인천광역시 옹진군 덕적면 서포리 310-3번지,하늘바다펜션,,,,,,,,
70,2004-04-03,3,폐업,폐업,2020-04-29,041-932-8555,충청남도 보령시 신흑동 946-4번지,바다사랑,,,,,,,,
71,2010-05-18,3,폐업,폐업,2018-07-27,041-931-4621,충청남도 보령시 신흑동 2213-13번지,준펜션,,,,,,,,
72,2010-08-18,3,폐업,폐업,2019-01-02,041-933-3261,충청남도 보령시 신흑동 2260-6번지,해날펜션,,,,,,,,
73,2011-03-14,3,폐업,폐업,2020-05-15,041-933-7139,충청남도 보령시 신흑동 2260-1번지,블루비치,,,,,,,,
74,2011-07-06,3,폐업,폐업,2022-10-14,041-934-6346,충청남도 보령시 신흑동 2219-4,썬샤인관광펜션,,,,,,,,
75,2012-02-10,3,폐업,폐업,2020-07-17,041-936-4747,충청남도 보령시 신흑동 2220-1,펜션좋은집,,,,,,,,
76,2012-11-12,3,폐업,폐업,2018-02-09,041-933-4744,충청남도 보령시 신흑동 2213-7번지,그린펜션,,,,,,,,
77,2012-11-27,3,폐업,폐업,2014-01-22,041-931-7441,충청남도 보령시 신흑동 2219-3번지,미래펜션,,,,,,,,
78,2012-12-20,3,폐업,폐업,2017-09-15,041-932-1291,충청남도 보령시 신흑동 2219-7번지,나노관광펜션,,,,,,,,
79,2012-05-31,3,폐업,폐업,2014-11-26,041-733-2639,충청남도 논산시 벌곡면 수락리 287-2번지,잉스힐,,,,,,,,
80,2017-06-07,3,폐업,폐업,2020-01-31,,충청남도 논산시 벌곡면 도산리 90번지,쁘띠 샹플랭,,,,,,,,
81,2013-05-28,3,폐업,폐업,2019-06-18,041-933-3803,충청남도 보령시 신흑동 2303-2번지,대천즐겨찾기,,,,,,,,
82,2013-07-01,3,폐업,폐업,2022-02-21,041-927-7000,충청남도 보령시 신흑동 2302-7,대천에코펜션,,,,,,,,
83,2013-07-05,3,폐업,폐업,2020-04-29,041-934-8188,충청남도 보령시 신흑동 2302-12번지,마마펜션,,,,,,,,
84,2007-08-09,3,폐업,폐업,2017-09-22,031-883-5034,경기도 여주시 금사면 이포리 13-3번지,스위트관광펜션,,,,,,,,
