시도명,2018관광지출액,2019관광지출액,2020관광지출액,2021관광지출액,2022관광지출액
서울특별시,1.28E+13,1.27E+13,9.30E+12,9.15E+12,1.19E+13
부산광역시,3.34E+12,3.23E+12,2.50E+12,2.42E+12,3.02E+12
대구광역시,1.81E+12,1.77E+12,1.38E+12,1.44E+12,1.76E+12
인천광역시,2.28E+12,2.16E+12,1.50E+12,1.38E+12,1.75E+12
광주광역시,9.90E+11,9.87E+11,8.08E+11,8.25E+11,9.44E+11
대전광역시,1.37E+12,1.34E+12,9.63E+11,9.77E+11,1.49E+12
울산광역시,6.15E+11,5.90E+11,4.88E+11,4.63E+11,5.52E+11
세종특별자치시,9.26E+10,9.64E+10,8.80E+10,9.07E+10,1.00E+11
경기도,8.89E+12,9.03E+12,7.86E+12,7.96E+12,9.41E+12
강원도,1.21E+12,1.22E+12,1.09E+12,1.12E+12,1.37E+12
충청북도,1.01E+12,1.01E+12,8.85E+11,9.05E+11,1.03E+12
충청남도,1.17E+12,1.16E+12,9.76E+11,1.00E+12,1.17E+12
전라북도,8.86E+11,8.69E+11,7.22E+11,7.41E+11,7.91E+11
전라남도,8.24E+11,8.64E+11,7.99E+11,8.23E+11,9.56E+11
경상북도,1.25E+12,1.23E+12,1.03E+12,1.12E+12,1.28E+12
경상남도,1.58E+12,1.54E+12,1.34E+12,1.32E+12,1.54E+12
제주특별자치도,9.32E+11,9.45E+11,8.12E+11,1.04E+12,1.24E+12
