시도명,2018검색건수,2019검색건수,2020검색건수,2021검색건수,2022검색건수
서울특별시,35178431,52778622,51848535,59573231,72188428
부산광역시,10390977,16391322,17163776,18663646,23312653
대구광역시,4639744,7690366,7688847,9746552,12588893
인천광역시,12779965,20666093,20427842,22410032,28016884
광주광역시,2833183,4495743,4280749,5200743,6632240
대전광역시,3384598,5338112,5526749,6563872,9061148
울산광역시,2426984,3744941,4146326,5087775,6289833
세종특별자치시,1150079,1772848,1993358,2458127,3079752
경기도,63594017,95778607,110525133,126825611,154197631
강원도,24153495,30784199,34837824,39088028,47043265
충청북도,5677915,8555246,9356049,11656894,14769522
충청남도,9960306,14341804,15790378,18946740,23803428
전라북도,6263749,9350846,9731549,11221464,13857526
전라남도,7317354,10851848,12608947,14277017,16844686
경상북도,8762482,13370836,14068728,18506042,22626115
경상남도,12026579,17800407,18910399,21923108,26401845
제주특별자치도,9021398,12857563,14538775,20027718,20557288
