지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
부산광역시,3.12E+12,2.48E+12,24919980,18595551,141850354,126828840,,1,,2,,,,,강원도 고성군 토성면 용촌리 601-1,,,,
인천광역시,1.84E+12,1.40E+12,30210191,22227083,162791200,137962498,,2,,2,,,,,강원도 고성군 토성면 용촌리 601-4,,,,
울산광역시,5.69E+11,4.70E+11,6665620,5137945,47583356,43702315,,3,,2,,,,,강원도 고성군 토성면 인흥리 632-1,,,,
경기도,9.57E+12,8.12E+12,164735536,125930625,614719516,557003044,,4,,2,,,,,강원도 고성군 죽왕면 문암진리 81-25번지,,,,
강원도,1.38E+12,1.17E+12,48248002,40225081,155688787,135732749,,5,,2,,,,,충청북도 제천시 청풍면 교리 227-6번지,,,,
충청북도,1.06E+12,9.16E+11,15577199,11758149,109409660,98004355,,6,,3,,,2017,,경상북도 경주시 하동,,,,
충청남도,1.20E+12,1.02E+12,25053483,19144715,160518006,145079713,,7,,3,,,2017,,경상북도 경주시 시래동,,,,
전라북도,7.91E+11,7.52E+11,14751808,11281658,96078088,84962410,,8,,3,,,2018,,경상북도 경주시 하동 656-39번지,,,,
전라남도,9.77E+11,8.37E+11,17521420,14348329,128349337,116892683,,9,,3,,,2018,,경상북도 경주시 하동 656-9번지,,,,
경상북도,1.30E+12,1.14E+12,23748525,18808015,180584844,164344571,,10,,3,,,2022,,충청남도 보령시 신흑동 2303-6,,,,
경상남도,1.57E+12,1.34E+12,27643206,22068720,152146144,142703820,,11,,3,,,2017,,충청남도 보령시 신흑동 2228-1번지,,,,
,,,,,,,,12,,3,,,2019,,충청남도 보령시 신흑동 2305-2번지,,,,
,,,,,,,,13,,3,,,2013,,충청남도 예산군 덕산면 사동리 108-2번지,,,,
,,,,,,,,14,,3,,,,,충청남도 태안군 고남면 고남리 486-4번지,,,,
,,,,,,,,15,,3,,,2014,,충청남도 태안군 남면 양잠리 1232-33번지,,,,
,,,,,,,,16,,3,,,2020,,충청남도 홍성군 서부면 남당리 384-3번지,,,,
,,,,,,,,17,,3,,,2022,,충청남도 태안군 원북면 청산리 87-54,,,,
,,,,,,,,18,,3,,,2020,,충청남도 태안군 남면 몽산리 680-2,,,,
,,,,,,,,19,,3,,,2017,,충청남도 태안군 남면 신온리 833-109번지,,,,
,,,,,,,,20,,3,,,2017,,충청남도 태안군 남면 원청리 558-4번지,,,,
,,,,,,,,21,,3,,,2017,,충청남도 태안군 남면 신온리 833-170번지,,,,
,,,,,,,,22,,3,,,2019,,충청남도 태안군 남면 양잠리 1230-33번지,,,,
,,,,,,,,23,,3,,,2014,,충청남도 태안군 남면 양잠리 1232-7번지,,,,
,,,,,,,,24,,3,,,2019,,충청남도 태안군 남면 양잠리 1230-28번지,,,,
,,,,,,,,25,,3,,,2020,,충청남도 태안군 고남면 고남리 829번지,,,,
,,,,,,,,26,,3,,,2019,,충청남도 태안군 남면 달산리 319-23번지 숙박시설,,,,
,,,,,,,,27,,3,,,2014,,충청남도 태안군 남면 양잠리 1230-14번지,,,,
,,,,,,,,28,,3,,,2014,,충청남도 태안군 남면 신온리 323-9번지,,,,
,,,,,,,,29,,3,,,2021,,충청남도 태안군 남면 원청리 512-135,,,,
,,,,,,,,30,,3,,,2019,,인천광역시 강화군 하점면 장정리 479-1번지,,,,
,,,,,,,,31,,3,,,2019,,경상남도 거제시 동부면 학동리 123-5번지,,,,
,,,,,,,,32,,3,,,2017,,경상북도 경주시 감포읍 감포리 549-1번지 2리,,,,
,,,,,,,,33,,3,,,2017,,경상북도 경주시 보문동 531-3번지,,,,
,,,,,,,,34,,3,,,2017,,경상북도 경주시 하동 254-2번지,,,,
,,,,,,,,35,,3,,,2014,,경상북도 경주시 내남면 안심리 416번지,,,,
,,,,,,,,36,,3,,,2017,,경상북도 경주시 구정동 17번지,,,,
,,,,,,,,37,,3,,,2017,,경상북도 경주시 외동읍 신계리 816-1번지,,,,
