,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,합계
2022,559105335,138809899,98911251,156833975,63690885,75722339,46977832,26852572,604371129,153519300,107789518,157998571,94577882,127233758,177618824,150560842,68419398,2808993310
2021,487463395,124393966,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2512164585
2020,486063680,125355958,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2476751655
2019,676239448,154956548,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,3019812007
2018,606282720,149628499,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2787477830
2017,605384652,138439055,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2644130931
2016,583428481,139849263,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2588609761
2015,606282720,128439403,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2923338134
2014,573892847,117392843,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2722852301
2013,568392884,125263826,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2593963934
2012,591793821,117373743,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2574499581
2011,578291034,128664726,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2895571771
2010,563782914,125846146,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2721195671
2009,537631833,129182726,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2567121783
2008,513894388,123384682,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2502611087
2007,524938294,122238426,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2835792731
2006,518849937,125233444,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2675649992
,606282720,128439403,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2923338134
,573892847,117392843,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2722852301
,568392884,125263826,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2593963934
,591793821,117373743,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2574499581
,578291034,128664726,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2895571771
,563782914,125846146,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2721195671
,537631833,129182726,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2567121783
,513894388,123384682,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2502611087
,524938294,122238426,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2835792731
,518849937,125233444,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2675649992
,606282720,128439403,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2923338134
,573892847,117392843,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2722852301
,568392884,125263826,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2593963934
,591793821,117373743,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2574499581
,578291034,128664726,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2895571771
,563782914,125846146,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2721195671
,537631833,129182726,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2567121783
,513894388,123384682,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2502611087
,524938294,122238426,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2835792731
,518849937,125233444,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2675649992
,606282720,128439403,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2923338134
,573892847,117392843,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2722852301
,568392884,125263826,87781593,136489732,56320473,69189201,43034413,25413200,552531290,130321244,96267132,142810037,83299200,114910137,161590338,140785495,59563739,2593963934
,591793821,117373743,86338895,137306507,56689650,69557253,43482816,23948388,550763372,131296509,93486231,138698894,83939339,110730837,152858211,139633588,46601527,2574499581
,578291034,128664726,107487542,186061142,66038784,83628100,48862667,25285404,664749407,145612023,105848957,156262000,93066716,119694029,173737828,153464716,58816696,2895571771
,563782914,125846146,105117110,159550161,63837307,82585850,46433222,23109587,591259444,135219733,102455188,149123906,89813652,112787550,166970809,148321065,54982027,2721195671
