시도명,2018,2019,2020,2021,2022,2023,합계
서울특별시,606282720,676239448,486063680,487463395,559105335,,2815154578
부산광역시,149628499,154956548,125355958,124393966,138809899,,693144870
대구광역시,105117110,107487542,86338895,87781593,98911251,,485636391
인천광역시,159550161,186061142,137306507,136489732,156833975,,776241517
광주광역시,63837307,66038784,56689650,56320473,63690885,,306577099
대전광역시,82585850,83628100,69557253,69189201,75722339,,380682743
울산광역시,46433222,48862667,43482816,43034413,46977832,,228790950
세종특별자치시,23109587,25285404,23948388,25413200,26852572,,124609151
경기도,591259444,664749407,550763372,552531290,604371129,,2963674642
강원도,135219733,145612023,131296509,130321244,153519300,,695968809
충청북도,102455188,105848957,93486231,96267132,107789518,,505847026
충청남도,149123906,156262000,138698894,142810037,157998571,,744893408
전라북도,89813652,93066716,83939339,83299200,94577882,,444696789
전라남도,112787550,119694029,110730837,114910137,127233758,,585356311
경상북도,166970809,173737828,152858211,161590338,177618824,,832776010
경상남도,148321065,153464716,139633588,140785495,150560842,,732765706
제주특별자치도,54982027,58816696,46601527,59563739,68419398,,288383387
