연도,일시,측정소,PM2.5
4.0,01-03 00:00,공주,0.06817258
4.0,01-03 01:00,공주,0.06822648
4.0,01-03 02:00,공주,0.06828039
4.0,01-03 03:00,공주,0.068334244
4.0,01-03 04:00,공주,0.06838814
4.0,01-03 05:00,공주,0.068442054
4.0,01-03 06:00,공주,0.06849594
4.0,01-03 07:00,공주,0.068549804
4.0,01-03 08:00,공주,0.0686037
4.0,01-03 09:00,공주,0.0686576
4.0,01-03 10:00,공주,0.06871148
4.0,01-03 11:00,공주,0.06876538
4.0,01-03 12:00,공주,0.06881928
4.0,01-03 13:00,공주,0.06887316
4.0,01-03 14:00,공주,0.06892706
4.0,01-03 15:00,공주,0.068980955
4.0,01-03 16:00,공주,0.06903484
4.0,01-03 17:00,공주,0.06908872
4.0,01-03 18:00,공주,0.06914262
4.0,01-03 19:00,공주,0.069196515
4.0,01-03 20:00,공주,0.0692504
4.0,01-03 21:00,공주,0.06930428
4.0,01-03 22:00,공주,0.06935819
4.0,01-03 23:00,공주,0.069412075
4.0,01-04 00:00,공주,0.06946597
4.0,01-04 01:00,공주,0.06951984
4.0,01-04 02:00,공주,0.06957375
4.0,01-04 03:00,공주,0.06962762
4.0,01-04 04:00,공주,0.06968153
4.0,01-04 05:00,공주,0.0697354
4.0,01-04 06:00,공주,0.0697893
4.0,01-04 07:00,공주,0.069843195
4.0,01-04 08:00,공주,0.06989709
4.0,01-04 09:00,공주,0.06995099
4.0,01-04 10:00,공주,0.07000486
4.0,01-04 11:00,공주,0.070058756
4.0,01-04 12:00,공주,0.07011267
4.0,01-04 13:00,공주,0.070166536
4.0,01-04 14:00,공주,0.07022043
4.0,01-04 15:00,공주,0.070274316
4.0,01-04 16:00,공주,0.0703282
4.0,01-04 17:00,공주,0.07038211
4.0,01-04 18:00,공주,0.07043599
4.0,01-04 19:00,공주,0.070489876
4.0,01-04 20:00,공주,0.0705438
4.0,01-04 21:00,공주,0.07059377
4.0,01-04 22:00,공주,0.070643194
4.0,01-04 23:00,공주,0.07069262
4.0,01-05 00:00,공주,0.07074203
4.0,01-05 01:00,공주,0.070791475
4.0,01-05 02:00,공주,0.07084092
4.0,01-05 03:00,공주,0.0708903
4.0,01-05 04:00,공주,0.07093974
4.0,01-05 05:00,공주,0.070989184
4.0,01-05 06:00,공주,0.07103861
4.0,01-05 07:00,공주,0.07108804
4.0,01-05 08:00,공주,0.07113745
4.0,01-05 09:00,공주,0.07118686
4.0,01-05 10:00,공주,0.071236305
4.0,01-05 11:00,공주,0.07128575
4.0,01-05 12:00,공주,0.07133516
4.0,01-05 13:00,공주,0.0713846
4.0,01-05 14:00,공주,0.07143403
4.0,01-05 15:00,공주,0.071483456
4.0,01-05 16:00,공주,0.07153287
4.0,01-05 17:00,공주,0.071582295
4.0,01-05 18:00,공주,0.07163174
4.0,01-05 19:00,공주,0.071681164
4.0,01-05 20:00,공주,0.07173059
4.0,01-05 21:00,공주,0.07178
4.0,01-05 22:00,공주,0.071829416
4.0,01-05 23:00,공주,0.07187887
4.0,01-08 00:00,공주,0.0719283
4.0,01-08 01:00,공주,0.07197768
4.0,01-08 02:00,공주,0.07202714
4.0,01-08 03:00,공주,0.07207657
4.0,01-08 04:00,공주,0.07212599
4.0,01-08 05:00,공주,0.07217545
4.0,01-08 06:00,공주,0.07222485
4.0,01-08 07:00,공주,0.07227426
4.0,01-08 08:00,공주,0.07232372
4.0,01-08 09:00,공주,0.07237313
4.0,01-08 10:00,공주,0.07242256
4.0,01-08 11:00,공주,0.072472
4.0,01-08 12:00,공주,0.072521426
4.0,01-08 13:00,공주,0.07257084
4.0,01-08 14:00,공주,0.072620265
4.0,01-08 15:00,공주,0.07266969
4.0,01-08 16:00,공주,0.07271912
4.0,01-08 17:00,공주,0.07276856
4.0,01-08 18:00,공주,0.07281799
4.0,01-08 19:00,공주,0.072867386
4.0,01-08 20:00,공주,0.07291684
4.0,01-08 21:00,공주,0.072966255
4.0,01-08 22:00,공주,0.07301568
4.0,01-08 23:00,공주,0.073065124
4.0,01-09 00:00,공주,0.07311454
4.0,01-09 01:00,공주,0.07316395
4.0,01-09 02:00,공주,0.07321342
4.0,01-09 03:00,공주,0.07326283
4.0,01-09 04:00,공주,0.073312245
4.0,01-09 05:00,공주,0.07336167
4.0,01-09 06:00,공주,0.0734111
4.0,01-09 07:00,공주,0.07346054
4.0,01-09 08:00,공주,0.073509954
4.0,01-09 09:00,공주,0.07355938
4.0,01-09 10:00,공주,0.07360884
4.0,01-09 11:00,공주,0.07365825
4.0,01-09 12:00,공주,0.07370766
4.0,01-09 13:00,공주,0.07375709
4.0,01-09 14:00,공주,0.07380652
4.0,01-09 15:00,공주,0.07385596
4.0,01-09 16:00,공주,0.073905386
4.0,01-09 17:00,공주,0.0739548
4.0,01-09 18:00,공주,0.074004255
4.0,01-09 19:00,공주,0.07405367
4.0,01-09 20:00,공주,0.074103095
4.0,01-09 21:00,공주,0.07415251
4.0,01-09 22:00,공주,0.074201934
4.0,01-09 23:00,공주,0.074251376
4.0,01-10 00:00,공주,0.07430082
4.0,01-10 01:00,공주,0.074350215
4.0,01-10 02:00,공주,0.07439966
4.0,01-10 03:00,공주,0.074449085
4.0,01-10 04:00,공주,0.0744985
4.0,01-10 05:00,공주,0.074547954
4.0,01-10 06:00,공주,0.074597366
4.0,01-10 07:00,공주,0.07464676
4.0,01-10 08:00,공주,0.074696235
4.0,01-10 09:00,공주,0.07474565
4.0,01-10 10:00,공주,0.074795045
4.0,01-10 11:00,공주,0.07484449
4.0,01-10 12:00,공주,0.074893914
4.0,01-10 13:00,공주,0.07494334
4.0,01-10 14:00,공주,0.0749928
4.0,01-10 15:00,공주,0.075042196
4.0,01-10 16:00,공주,0.07509162
4.0,01-10 17:00,공주,0.075141065
4.0,01-10 18:00,공주,0.07519048
4.0,01-10 19:00,공주,0.07523989
4.0,01-10 20:00,공주,0.07528933
4.0,01-10 21:00,공주,0.07533877
4.0,01-10 22:00,공주,0.0753882
4.0,01-10 23:00,공주,0.07543763
4.0,01-13 00:00,공주,0.075487055
4.0,01-13 01:00,공주,0.07553647
4.0,01-13 02:00,공주,0.07558591
4.0,01-13 03:00,공주,0.07563534
4.0,01-13 04:00,공주,0.07568475
4.0,01-13 05:00,공주,0.075734176
4.0,01-13 06:00,공주,0.07578362
4.0,01-13 07:00,공주,0.075833045
4.0,01-13 08:00,공주,0.07588247
4.0,01-13 09:00,공주,0.07593187
4.0,01-13 10:00,공주,0.07598131
4.0,01-13 11:00,공주,0.07603074
4.0,01-13 12:00,공주,0.07608018
4.0,01-13 13:00,공주,0.07612959
4.0,01-13 14:00,공주,0.076179035
4.0,01-13 15:00,공주,0.07622845
4.0,01-13 16:00,공주,0.076277904
4.0,01-13 17:00,공주,0.0763273
4.0,01-13 18:00,공주,0.07637673
4.0,01-13 19:00,공주,0.0764262
4.0,01-13 20:00,공주,0.0764756
4.0,01-13 21:00,공주,0.07652504
4.0,01-13 22:00,공주,0.07657445
4.0,01-13 23:00,공주,0.07662388
4.0,01-14 00:00,공주,0.07667332
4.0,01-14 01:00,공주,0.07672273
4.0,01-14 02:00,공주,0.076772146
4.0,01-14 03:00,공주,0.0768216
4.0,01-14 04:00,공주,0.076871015
4.0,01-14 05:00,공주,0.07692044
4.0,01-14 06:00,공주,0.07696987
4.0,01-14 07:00,공주,0.07701931
4.0,01-14 08:00,공주,0.07706874
4.0,01-14 09:00,공주,0.077118166
4.0,01-14 10:00,공주,0.07716758
4.0,01-14 11:00,공주,0.077217035
4.0,01-14 12:00,공주,0.07726643
4.0,01-14 13:00,공주,0.077315874
4.0,01-14 14:00,공주,0.0773653
4.0,01-14 15:00,공주,0.077414714
4.0,01-14 16:00,공주,0.077464156
4.0,01-14 17:00,공주,0.07751358
4.0,01-14 18:00,공주,0.07756298
4.0,01-14 19:00,공주,0.07761245
4.0,01-14 20:00,공주,0.077661864
4.0,01-14 21:00,공주,0.07771128
4.0,01-14 22:00,공주,0.07776072
4.0,01-14 23:00,공주,0.077810146
4.0,01-15 00:00,공주,0.07785954
4.0,01-15 01:00,공주,0.077909
4.0,01-15 02:00,공주,0.07795841
4.0,01-15 03:00,공주,0.07800784
4.0,01-15 04:00,공주,0.07805728
4.0,01-15 05:00,공주,0.078106694
4.0,01-15 06:00,공주,0.078156136
4.0,01-15 07:00,공주,0.07820556
4.0,01-15 08:00,공주,0.07825496
4.0,01-15 09:00,공주,0.0783044
4.0,01-15 10:00,공주,0.078353845
4.0,01-15 11:00,공주,0.07840326
4.0,01-15 12:00,공주,0.078452684
4.0,01-15 13:00,공주,0.07850211
4.0,01-15 14:00,공주,0.07855154
4.0,01-15 15:00,공주,0.078600965
4.0,01-15 16:00,공주,0.07865041
4.0,01-15 17:00,공주,0.078699835
4.0,01-15 18:00,공주,0.07874925
4.0,01-15 19:00,공주,0.078798674
4.0,01-15 20:00,공주,0.0788481
4.0,01-15 21:00,공주,0.07889754
4.0,01-15 22:00,공주,0.07894694
4.0,01-15 23:00,공주,0.07899638
