연도,일시,측정소,PM2.5
4.0,01-03 00:00,공주,0.104564995
4.0,01-03 01:00,공주,0.104557365
4.0,01-03 02:00,공주,0.10454973
4.0,01-03 03:00,공주,0.10454207
4.0,01-03 04:00,공주,0.1045344
4.0,01-03 05:00,공주,0.10452671
4.0,01-03 06:00,공주,0.10451902
4.0,01-03 07:00,공주,0.104511306
4.0,01-03 08:00,공주,0.10450357
4.0,01-03 09:00,공주,0.10449582
4.0,01-03 10:00,공주,0.10448806
4.0,01-03 11:00,공주,0.1044803
4.0,01-03 12:00,공주,0.1044725
4.0,01-03 13:00,공주,0.104464695
4.0,01-03 14:00,공주,0.10445687
4.0,01-03 15:00,공주,0.104449034
4.0,01-03 16:00,공주,0.104441196
4.0,01-03 17:00,공주,0.10443333
4.0,01-03 18:00,공주,0.104425445
4.0,01-03 19:00,공주,0.10441755
4.0,01-03 20:00,공주,0.104409635
4.0,01-03 21:00,공주,0.104401715
4.0,01-03 22:00,공주,0.10439378
4.0,01-03 23:00,공주,0.10438582
4.0,01-04 00:00,공주,0.10437785
4.0,01-04 01:00,공주,0.104369864
4.0,01-04 02:00,공주,0.10436186
4.0,01-04 03:00,공주,0.104353845
4.0,01-04 04:00,공주,0.1043458
4.0,01-04 05:00,공주,0.10433775
4.0,01-04 06:00,공주,0.10432969
4.0,01-04 07:00,공주,0.104321614
4.0,01-04 08:00,공주,0.104313515
4.0,01-04 09:00,공주,0.1043054
4.0,01-04 10:00,공주,0.10429728
4.0,01-04 11:00,공주,0.10428913
4.0,01-04 12:00,공주,0.10428098
4.0,01-04 13:00,공주,0.104272805
4.0,01-04 14:00,공주,0.10426461
4.0,01-04 15:00,공주,0.10425641
4.0,01-04 16:00,공주,0.10424818
4.0,01-04 17:00,공주,0.10423994
4.0,01-04 18:00,공주,0.104231685
4.0,01-04 19:00,공주,0.104223415
4.0,01-04 20:00,공주,0.10421513
4.0,01-04 21:00,공주,0.10420683
4.0,01-04 22:00,공주,0.104198515
4.0,01-04 23:00,공주,0.10419017
4.0,01-05 00:00,공주,0.104181826
4.0,01-05 01:00,공주,0.10417347
4.0,01-05 02:00,공주,0.10416508
4.0,01-05 03:00,공주,0.10415667
4.0,01-05 04:00,공주,0.104148254
4.0,01-05 05:00,공주,0.10413982
4.0,01-05 06:00,공주,0.10413137
4.0,01-05 07:00,공주,0.10412291
4.0,01-05 08:00,공주,0.10411443
4.0,01-05 09:00,공주,0.10410593
4.0,01-05 10:00,공주,0.10409741
4.0,01-05 11:00,공주,0.10408887
4.0,01-05 12:00,공주,0.10408033
4.0,01-05 13:00,공주,0.104071766
4.0,01-05 14:00,공주,0.10406318
4.0,01-05 15:00,공주,0.10405458
4.0,01-05 16:00,공주,0.10404596
4.0,01-05 17:00,공주,0.1040376
4.0,01-05 18:00,공주,0.104029246
4.0,01-05 19:00,공주,0.10402085
4.0,01-05 20:00,공주,0.10401243
4.0,01-05 21:00,공주,0.10400398
4.0,01-05 22:00,공주,0.10399553
4.0,01-05 23:00,공주,0.10398705
4.0,01-08 00:00,공주,0.103978574
4.0,01-08 01:00,공주,0.10397007
4.0,01-08 02:00,공주,0.10396156
4.0,01-08 03:00,공주,0.10395302
4.0,01-08 04:00,공주,0.10394445
4.0,01-08 05:00,공주,0.10393588
4.0,01-08 06:00,공주,0.1039273
4.0,01-08 07:00,공주,0.10391869
4.0,01-08 08:00,공주,0.10391
4.0,01-08 09:00,공주,0.10390125
4.0,01-08 10:00,공주,0.103892475
4.0,01-08 11:00,공주,0.10388368
4.0,01-08 12:00,공주,0.10387488
4.0,01-08 13:00,공주,0.10386605
4.0,01-08 14:00,공주,0.103857204
4.0,01-08 15:00,공주,0.1038485
4.0,01-08 16:00,공주,0.103839844
4.0,01-08 17:00,공주,0.10383116
4.0,01-08 18:00,공주,0.103822455
4.0,01-08 19:00,공주,0.10381374
4.0,01-08 20:00,공주,0.103805006
4.0,01-08 21:00,공주,0.10379626
4.0,01-08 22:00,공주,0.1037875
4.0,01-08 23:00,공주,0.103778705
4.0,01-09 00:00,공주,0.1037699
4.0,01-09 01:00,공주,0.10376108
4.0,01-09 02:00,공주,0.10375224
4.0,01-09 03:00,공주,0.10374339
4.0,01-09 04:00,공주,0.103734516
4.0,01-09 05:00,공주,0.10372562
4.0,01-09 06:00,공주,0.103716716
4.0,01-09 07:00,공주,0.10370779
4.0,01-09 08:00,공주,0.10369884
4.0,01-09 09:00,공주,0.10368988
4.0,01-09 10:00,공주,0.1036809
4.0,01-09 11:00,공주,0.1036719
4.0,01-09 12:00,공주,0.10366288
4.0,01-09 13:00,공주,0.10365385
4.0,01-09 14:00,공주,0.1036448
4.0,01-09 15:00,공주,0.10363573
4.0,01-09 16:00,공주,0.10362664
4.0,01-09 17:00,공주,0.103617534
4.0,01-09 18:00,공주,0.103608415
4.0,01-09 19:00,공주,0.103599265
4.0,01-09 20:00,공주,0.10359011
4.0,01-09 21:00,공주,0.10358092
4.0,01-09 22:00,공주,0.10357173
4.0,01-09 23:00,공주,0.10356251
4.0,01-10 00:00,공주,0.10355328
4.0,01-10 01:00,공주,0.10354403
4.0,01-10 02:00,공주,0.10353475
4.0,01-10 03:00,공주,0.10352546
4.0,01-10 04:00,공주,0.10351615
4.0,01-10 05:00,공주,0.103506826
4.0,01-10 06:00,공주,0.103497475
4.0,01-10 07:00,공주,0.10348812
4.0,01-10 08:00,공주,0.10347873
4.0,01-10 09:00,공주,0.10346933
4.0,01-10 10:00,공주,0.1034599
4.0,01-10 11:00,공주,0.10345046
4.0,01-10 12:00,공주,0.103441
4.0,01-10 13:00,공주,0.10343152
4.0,01-10 14:00,공주,0.10342203
4.0,01-10 15:00,공주,0.10341251
4.0,01-10 16:00,공주,0.10340297
4.0,01-10 17:00,공주,0.10339342
4.0,01-10 18:00,공주,0.10338384
4.0,01-10 19:00,공주,0.10337424
4.0,01-10 20:00,공주,0.10336463
4.0,01-10 21:00,공주,0.103355005
4.0,01-10 22:00,공주,0.10334535
4.0,01-10 23:00,공주,0.10333568
4.0,01-13 00:00,공주,0.10332599
4.0,01-13 01:00,공주,0.10331628
4.0,01-13 02:00,공주,0.10330655
4.0,01-13 03:00,공주,0.10329679
4.0,01-13 04:00,공주,0.10328703
4.0,01-13 05:00,공주,0.103277236
4.0,01-13 06:00,공주,0.103267424
4.0,01-13 07:00,공주,0.1032576
4.0,01-13 08:00,공주,0.10324775
4.0,01-13 09:00,공주,0.10323788
4.0,01-13 10:00,공주,0.10322799
4.0,01-13 11:00,공주,0.10321808
4.0,01-13 12:00,공주,0.10320815
4.0,01-13 13:00,공주,0.1031982
4.0,01-13 14:00,공주,0.10318823
4.0,01-13 15:00,공주,0.10317823
4.0,01-13 16:00,공주,0.1031682
4.0,01-13 17:00,공주,0.10315807
4.0,01-13 18:00,공주,0.103147924
4.0,01-13 19:00,공주,0.10313776
4.0,01-13 20:00,공주,0.103127584
4.0,01-13 21:00,공주,0.10311738
4.0,01-13 22:00,공주,0.10310714
4.0,01-13 23:00,공주,0.1030969
4.0,01-14 00:00,공주,0.103086635
4.0,01-14 01:00,공주,0.10307634
4.0,01-14 02:00,공주,0.10306603
4.0,01-14 03:00,공주,0.1030557
4.0,01-14 04:00,공주,0.10304535
4.0,01-14 05:00,공주,0.10303498
4.0,01-14 06:00,공주,0.10302459
4.0,01-14 07:00,공주,0.10301417
4.0,01-14 08:00,공주,0.10300374
4.0,01-14 09:00,공주,0.10299328
4.0,01-14 10:00,공주,0.102982804
4.0,01-14 11:00,공주,0.10297231
4.0,01-14 12:00,공주,0.10296179
4.0,01-14 13:00,공주,0.10295124
4.0,01-14 14:00,공주,0.10294068
4.0,01-14 15:00,공주,0.1029301
4.0,01-14 16:00,공주,0.10291949
4.0,01-14 17:00,공주,0.102908865
4.0,01-14 18:00,공주,0.10289821
4.0,01-14 19:00,공주,0.10288754
4.0,01-14 20:00,공주,0.10287686
4.0,01-14 21:00,공주,0.10286614
4.0,01-14 22:00,공주,0.1028554
4.0,01-14 23:00,공주,0.10284464
4.0,01-15 00:00,공주,0.10283387
4.0,01-15 01:00,공주,0.102823064
4.0,01-15 02:00,공주,0.10281223
4.0,01-15 03:00,공주,0.10280139
4.0,01-15 04:00,공주,0.10279052
4.0,01-15 05:00,공주,0.102779634
4.0,01-15 06:00,공주,0.10276872
4.0,01-15 07:00,공주,0.10275778
4.0,01-15 08:00,공주,0.10274683
4.0,01-15 09:00,공주,0.10273585
4.0,01-15 10:00,공주,0.10272484
4.0,01-15 11:00,공주,0.10271382
4.0,01-15 12:00,공주,0.10270277
4.0,01-15 13:00,공주,0.1026917
4.0,01-15 14:00,공주,0.10268061
4.0,01-15 15:00,공주,0.10266949
4.0,01-15 16:00,공주,0.102658354
4.0,01-15 17:00,공주,0.102647185
4.0,01-15 18:00,공주,0.10263601
4.0,01-15 19:00,공주,0.10262479
4.0,01-15 20:00,공주,0.10261357
4.0,01-15 21:00,공주,0.1026023
4.0,01-15 22:00,공주,0.10259103
4.0,01-15 23:00,공주,0.10257973
4.0,01-18 00:00,공주,0.1025684
4.0,01-18 01:00,공주,0.102557056
4.0,01-18 02:00,공주,0.10254572
4.0,01-18 03:00,공주,0.10253443
4.0,01-18 04:00,공주,0.1025231
4.0,01-18 05:00,공주,0.10251176
4.0,01-18 06:00,공주,0.102500394
4.0,01-18 07:00,공주,0.10248901
4.0,01-18 08:00,공주,0.102477595
4.0,01-18 09:00,공주,0.102466166
4.0,01-18 10:00,공주,0.10245471
4.0,01-18 11:00,공주,0.10244322
4.0,01-18 12:00,공주,0.102431715
4.0,01-18 13:00,공주,0.10242018
4.0,01-18 14:00,공주,0.10240863
4.0,01-18 15:00,공주,0.102397054
4.0,01-18 16:00,공주,0.10238545
4.0,01-18 17:00,공주,0.10237382
4.0,01-18 18:00,공주,0.102362186
4.0,01-18 19:00,공주,0.1023505
4.0,01-18 20:00,공주,0.102338806
4.0,01-18 21:00,공주,0.10232708
4.0,01-18 22:00,공주,0.10231534
4.0,01-18 23:00,공주,0.102303565
4.0,01-19 00:00,공주,0.10229176
4.0,01-19 01:00,공주,0.10227995
4.0,01-19 02:00,공주,0.10226811
4.0,01-19 03:00,공주,0.10225624
4.0,01-19 04:00,공주,0.10224435
4.0,01-19 05:00,공주,0.10223243
4.0,01-19 06:00,공주,0.10222049
4.0,01-19 07:00,공주,0.102208525
4.0,01-19 08:00,공주,0.10219653
4.0,01-19 09:00,공주,0.10218451
4.0,01-19 10:00,공주,0.102172464
4.0,01-19 11:00,공주,0.10216041
4.0,01-19 12:00,공주,0.10214831
4.0,01-19 13:00,공주,0.102136195
4.0,01-19 14:00,공주,0.10212405
4.0,01-19 15:00,공주,0.10211189
4.0,01-19 16:00,공주,0.10209969
4.0,01-19 17:00,공주,0.10208747
4.0,01-19 18:00,공주,0.102075234
4.0,01-19 19:00,공주,0.10206296
4.0,01-19 20:00,공주,0.10205066
4.0,01-19 21:00,공주,0.10203834
4.0,01-19 22:00,공주,0.102026
4.0,01-19 23:00,공주,0.10201362
4.0,01-20 00:00,공주,0.102001235
4.0,01-20 01:00,공주,0.10198881
4.0,01-20 02:00,공주,0.10197635
4.0,01-20 03:00,공주,0.10196388
4.0,01-20 04:00,공주,0.101951376
4.0,01-20 05:00,공주,0.101938844
4.0,01-20 06:00,공주,0.10192628
4.0,01-20 07:00,공주,0.101913705
4.0,01-20 08:00,공주,0.1019011
4.0,01-20 09:00,공주,0.10188846
4.0,01-20 10:00,공주,0.101875804
4.0,01-20 11:00,공주,0.101863116
4.0,01-20 12:00,공주,0.101850405
4.0,01-20 13:00,공주,0.101837665
4.0,01-20 14:00,공주,0.101824895
4.0,01-20 15:00,공주,0.101812094
4.0,01-20 16:00,공주,0.10179928
4.0,01-20 17:00,공주,0.10178642
4.0,01-20 18:00,공주,0.10177356
4.0,01-20 19:00,공주,0.10176064
4.0,01-20 20:00,공주,0.10174772
4.0,01-20 21:00,공주,0.10173476
4.0,01-20 22:00,공주,0.10172177
4.0,01-20 23:00,공주,0.101708755
4.0,01-23 00:00,공주,0.10169572
4.0,01-23 01:00,공주,0.10168265
