index,quality
0,6
1,7
2,6
3,6
4,7
5,5
6,7
7,5
8,5
9,6
10,5
11,5
12,6
13,6
14,5
15,6
16,5
17,5
18,5
19,7
20,5
21,7
22,6
23,5
24,6
25,7
26,7
27,5
28,5
29,6
30,7
31,5
32,7
33,5
34,5
35,6
36,6
37,5
38,6
39,7
40,7
41,5
42,6
43,6
44,7
45,6
46,6
47,5
48,6
49,5
50,5
51,6
52,7
53,6
54,5
55,5
56,6
57,6
58,6
59,5
60,7
61,6
62,7
63,6
64,5
65,5
66,5
67,5
68,6
69,6
70,7
71,7
72,5
73,7
74,5
75,5
76,5
77,7
78,5
79,5
80,7
81,5
82,6
83,6
84,5
85,5
86,6
87,6
88,5
89,5
90,6
91,6
92,5
93,7
94,5
95,6
96,5
97,6
98,5
99,6
100,7
101,5
102,6
103,6
104,5
105,7
106,5
107,5
108,6
109,5
110,7
111,6
112,6
113,6
114,7
115,6
116,7
117,5
118,5
119,5
120,5
121,7
122,6
123,7
124,6
125,6
126,6
127,6
128,6
129,7
130,6
131,5
132,5
133,7
134,5
135,5
136,5
137,7
138,6
139,5
140,6
141,4
142,5
143,5
144,6
145,6
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,7
155,6
156,7
157,5
158,5
159,7
160,6
161,5
162,6
163,7
164,7
165,5
166,7
167,6
168,5
169,5
170,5
171,6
172,6
173,7
174,7
175,5
176,5
177,6
178,5
179,7
180,6
181,7
182,7
183,5
184,7
185,7
186,6
187,5
188,6
189,6
190,5
191,6
192,6
193,5
194,6
195,7
196,7
197,6
198,5
199,5
200,5
201,5
202,6
203,7
204,6
205,7
206,5
207,7
208,5
209,6
210,6
211,5
212,6
213,6
214,5
215,5
216,6
217,5
218,5
219,6
220,5
221,6
222,5
223,6
224,6
225,6
226,5
227,7
228,5
229,6
230,6
231,5
232,6
233,6
234,5
235,5
236,6
237,6
238,6
239,5
240,5
241,5
242,7
243,7
244,5
245,6
246,7
247,7
248,6
249,7
250,6
251,5
252,5
253,7
254,5
255,7
256,5
257,5
258,5
259,5
260,5
261,5
262,6
263,5
264,6
265,7
266,5
267,6
268,5
269,5
270,7
271,6
272,6
273,6
274,5
275,6
276,7
277,6
278,6
279,7
280,7
281,7
282,7
283,6
284,6
285,7
286,6
287,5
288,4
289,6
290,6
291,5
292,7
293,5
294,7
295,6
296,5
297,5
298,6
299,5
300,6
301,5
302,5
303,5
304,6
305,6
306,6
307,7
308,6
309,6
310,5
311,5
312,7
313,5
314,6
315,6
316,6
317,7
318,6
319,5
320,5
321,7
322,5
323,5
324,4
325,4
326,6
327,6
328,5
329,7
330,6
331,5
332,6
333,5
334,6
335,6
336,5
337,5
338,5
339,6
340,6
341,6
342,5
343,6
344,6
345,5
346,5
347,6
348,5
349,5
350,7
351,5
352,6
353,5
354,7
355,6
356,6
357,6
358,7
359,5
360,4
361,5
362,7
363,5
364,7
365,6
366,5
367,7
368,5
369,7
370,6
371,5
372,4
373,7
374,5
375,5
376,5
377,6
378,5
379,5
380,6
381,6
382,5
383,7
384,6
385,5
386,7
387,5
388,7
389,5
390,5
391,7
392,6
393,6
394,7
395,6
396,7
397,6
398,6
399,5
400,5
401,6
402,5
403,6
404,5
405,6
406,5
407,6
408,5
409,6
410,6
411,6
412,5
413,7
414,6
415,7
416,6
417,5
418,5
419,6
420,7
421,6
422,7
423,5
424,5
425,6
426,5
427,7
428,5
429,5
430,7
431,5
432,6
433,6
434,5
435,4
436,6
437,6
438,5
439,6
440,6
441,5
442,5
443,5
444,6
445,5
446,6
447,4
448,5
449,5
450,5
451,7
452,6
453,7
454,6
455,6
456,6
457,5
458,6
459,6
460,5
461,7
462,5
463,7
464,6
465,5
466,5
467,5
468,6
469,5
470,6
471,6
472,7
473,7
474,6
475,6
476,7
477,5
478,5
479,7
480,5
481,6
482,5
483,5
484,6
485,6
486,5
487,7
488,6
489,7
490,5
491,5
492,6
493,5
494,7
495,5
496,5
497,6
498,7
499,5
500,5
501,6
502,7
503,6
504,6
505,5
506,5
507,6
508,5
509,5
510,6
511,5
512,6
513,5
514,6
515,6
516,5
517,5
518,5
519,6
520,5
521,6
522,7
523,6
524,6
525,7
526,7
527,7
528,6
529,6
530,6
531,7
532,6
533,5
534,6
535,6
536,7
537,7
538,4
539,6
540,6
541,7
542,7
543,5
544,6
545,5
546,5
547,5
548,6
549,5
550,7
551,5
552,6
553,6
554,5
555,5
556,7
557,6
558,6
559,6
560,7
561,6
562,7
563,6
564,6
565,7
566,7
567,5
568,5
569,6
570,6
571,5
572,6
573,7
574,5
575,7
576,6
577,6
578,5
579,6
580,5
581,6
582,7
583,6
584,5
585,5
586,5
587,5
588,6
589,5
590,5
591,5
592,6
593,5
594,5
595,6
596,6
597,7
598,6
599,6
600,5
601,5
602,5
603,6
604,6
605,6
606,6
607,6
608,6
609,5
610,6
611,6
612,5
613,6
614,5
615,6
616,5
617,6
618,7
619,5
620,5
621,6
622,5
623,6
624,5
625,6
626,6
627,6
628,6
629,5
630,6
631,6
632,7
633,6
634,7
635,7
636,6
637,6
638,7
639,5
640,4
641,5
642,6
643,7
644,6
645,5
646,5
647,6
648,7
649,6
650,5
651,5
652,6
653,6
654,6
655,6
656,6
657,5
658,7
659,7
660,6
661,6
662,5
663,5
664,6
665,7
666,6
667,6
668,5
669,7
670,5
671,5
672,5
673,7
674,5
675,5
676,5
677,6
678,5
679,6
680,7
681,6
682,6
683,6
684,7
685,5
686,5
687,5
688,4
689,7
690,6
691,6
692,4
693,6
694,5
695,7
696,5
697,7
698,5
699,6
700,6
701,6
702,5
703,6
704,5
705,6
706,5
707,7
708,5
709,5
710,5
711,6
712,7
713,6
714,6
715,6
716,5
717,5
718,7
719,7
720,6
721,5
722,6
723,6
724,5
725,6
726,5
727,6
728,6
729,5
730,6
731,5
732,5
733,6
734,6
735,7
736,6
737,5
738,5
739,6
740,6
741,6
742,5
743,5
744,5
745,7
746,6
747,6
748,6
749,7
750,5
751,5
752,7
753,6
754,6
755,6
756,7
757,6
758,7
759,5
760,6
761,6
762,7
763,5
764,6
765,6
766,7
767,7
768,5
769,5
770,5
771,6
772,6
773,5
774,6
775,5
776,5
777,5
778,7
779,5
780,7
781,5
782,5
783,7
784,6
785,6
786,6
787,6
788,5
789,5
790,7
791,5
792,5
793,6
794,5
795,6
796,6
797,6
798,6
799,6
800,6
801,5
802,7
803,7
804,5
805,6
806,5
807,6
808,5
809,6
810,6
811,6
812,6
813,6
814,7
815,7
816,5
817,5
818,5
819,5
820,5
821,6
822,6
823,6
824,5
825,7
826,5
827,6
828,5
829,5
830,6
831,6
832,5
833,6
834,6
835,6
836,7
837,5
838,5
839,5
840,5
841,6
842,5
843,6
844,7
845,6
846,5
847,7
848,6
849,6
850,6
851,6
852,7
853,6
854,4
855,7
856,5
857,4
858,5
859,6
860,5
861,6
862,6
863,6
864,5
865,5
866,6
867,6
868,5
869,5
870,5
871,6
872,6
873,5
874,6
875,6
876,6
877,5
878,6
879,5
880,5
881,7
882,5
883,6
884,5
885,5
886,6
887,6
888,6
889,6
890,6
891,6
892,6
893,5
894,5
895,5
896,5
897,7
898,5
899,5
900,7
901,5
902,5
903,5
904,5
905,5
906,6
907,6
908,5
909,6
910,6
911,6
912,6
913,6
914,6
915,5
916,6
917,7
918,5
919,7
920,7
921,5
922,7
923,7
924,7
925,7
926,7
927,6
928,6
929,6
930,4
931,7
932,6
933,7
934,6
935,5
936,6
937,6
938,6
939,6
940,5
941,6
942,6
943,5
944,6
945,7
946,6
947,7
948,5
949,7
950,7
951,6
952,5
953,6
954,5
955,5
956,5
957,6
958,7
959,5
960,7
961,6
962,5
963,7
964,6
965,6
966,6
967,6
968,7
969,5
970,6
971,7
972,6
973,5
974,6
975,5
976,5
977,5
978,5
979,7
980,5
981,6
982,6
983,5
984,5
985,6
986,6
987,7
988,7
989,6
990,6
991,5
992,5
993,6
994,5
995,7
996,6
997,7
998,5
999,5
