iter	Passed	Remaining
0	3	3368
1	6	3209
2	9	3169
3	14	3501
4	18	3628
5	21	3529
6	24	3450
7	27	3384
8	30	3407
9	33	3365
10	36	3325
11	39	3292
12	42	3263
13	48	3389
14	56	3687
15	64	3956
16	69	4016
17	75	4137
18	83	4317
19	91	4484
20	98	4578
21	103	4600
22	109	4637
23	114	4666
24	118	4632
25	122	4594
26	127	4580
27	131	4557
28	137	4596
29	141	4564
30	145	4535
31	149	4509
32	153	4488
33	157	4462
34	162	4474
35	167	4473
36	171	4452
37	175	4435
38	179	4412
39	182	4391
40	189	4424
41	192	4399
42	196	4376
43	201	4386
44	207	4394
45	211	4392
46	220	4463
47	222	4422
48	226	4387
49	228	4350
50	232	4319
51	234	4284
52	237	4249
53	240	4215
54	243	4184
55	246	4156
56	249	4126
57	252	4097
58	255	4068
59	258	4045
60	261	4023
61	264	3999
62	267	3974
63	270	3950
64	272	3926
65	275	3902
66	279	3886
67	281	3864
68	284	3841
69	287	3820
70	290	3799
71	293	3782
72	296	3761
73	299	3743
74	301	3724
75	304	3706
76	308	3692
77	310	3675
78	313	3659
79	316	3642
80	319	3625
81	322	3610
82	327	3622
83	330	3606
84	333	3590
85	336	3575
86	340	3577
87	343	3562
88	346	3547
89	349	3532
90	352	3518
91	359	3547
92	362	3533
93	365	3519
94	367	3505
95	371	3497
96	374	3484
97	377	3471
98	380	3460
99	383	3447
100	386	3440
101	389	3428
102	392	3417
103	396	3415
104	400	3410
105	403	3400
106	405	3387
107	408	3376
108	411	3364
109	414	3353
110	417	3346
111	420	3335
112	423	3325
113	426	3314
114	429	3303
115	432	3295
116	435	3285
117	438	3274
118	440	3264
119	443	3254
120	447	3248
121	450	3242
122	453	3233
123	456	3223
124	459	3213
125	462	3210
126	465	3201
127	468	3192
128	471	3183
129	474	3174
130	477	3167
131	480	3158
132	484	3156
133	488	3155
134	491	3147
135	494	3140
136	497	3136
137	500	3127
138	503	3119
139	506	3110
140	509	3105
141	512	3097
142	515	3090
143	519	3086
144	523	3089
145	527	3083
146	529	3075
147	532	3066
148	535	3058
149	538	3051
150	541	3046
151	545	3044
152	548	3038
153	551	3030
154	554	3024
155	557	3017
156	560	3010
157	563	3003
158	566	2996
159	570	2992
160	573	2986
161	575	2979
162	578	2972
163	581	2965
164	584	2958
165	587	2952
166	590	2945
167	593	2938
168	596	2931
169	599	2924
170	602	2921
171	605	2914
172	608	2907
173	610	2900
174	613	2893
175	616	2887
176	619	2880
177	622	2874
178	625	2867
179	628	2861
180	631	2857
181	635	2858
182	639	2855
183	642	2849
184	645	2845
185	649	2841
186	651	2834
187	654	2828
188	657	2821
189	660	2817
190	663	2812
191	666	2806
192	669	2800
193	672	2794
194	675	2787
195	678	2783
196	681	2777
197	684	2771
198	687	2766
199	690	2760
200	693	2755
201	696	2751
202	699	2745
203	702	2739
204	705	2735
205	709	2733
206	712	2730
207	715	2724
208	718	2718
209	721	2712
210	724	2710
211	729	2711
212	735	2716
213	739	2715
214	743	2714
215	747	2714
216	753	2719
217	759	2723
218	762	2718
219	765	2713
220	768	2707
221	771	2702
222	774	2696
223	776	2691
224	779	2685
225	783	2683
226	787	2681
227	790	2676
228	793	2670
229	796	2665
230	798	2659
231	801	2654
232	804	2649
233	807	2643
234	810	2638
235	813	2632
236	816	2627
237	819	2622
238	821	2617
239	824	2611
240	827	2606
241	830	2601
242	833	2596
243	839	2600
244	842	2596
245	846	2594
246	850	2592
247	853	2587
248	856	2582
249	859	2577
250	862	2572
251	864	2567
252	867	2562
253	871	2558
254	873	2552
255	876	2547
256	879	2543
257	882	2538
258	886	2536
259	890	2534
260	893	2529
261	896	2525
262	899	2519
263	902	2515
264	905	2510
265	907	2505
266	910	2500
267	913	2495
268	916	2490
269	919	2485
270	922	2480
271	925	2475
272	928	2471
273	930	2466
274	933	2462
275	936	2457
276	940	2453
277	943	2449
278	945	2444
279	948	2439
280	951	2435
281	954	2430
282	957	2426
283	961	2423
284	964	2418
285	966	2413
286	969	2408
287	972	2404
288	975	2400
289	978	2396
290	982	2394
291	986	2391
292	989	2387
293	992	2383
294	995	2378
295	998	2373
296	1001	2369
297	1004	2365
298	1007	2361
299	1010	2356
300	1012	2352
301	1015	2347
302	1018	2343
303	1021	2339
304	1024	2334
305	1027	2330
306	1030	2325
307	1033	2321
308	1036	2317
309	1039	2312
310	1041	2308
311	1044	2304
312	1047	2299
313	1050	2295
314	1054	2292
315	1057	2288
316	1060	2284
317	1063	2280
318	1066	2276
319	1070	2274
320	1073	2271
321	1076	2267
322	1079	2263
323	1082	2259
324	1085	2255
325	1088	2250
326	1091	2246
327	1094	2242
328	1098	2240
329	1101	2235
330	1104	2231
331	1107	2227
332	1109	2223
333	1113	2219
334	1116	2215
335	1118	2211
336	1121	2206
337	1124	2202
338	1127	2199
339	1130	2195
340	1133	2190
341	1136	2186
342	1140	2184
343	1144	2182
344	1147	2178
345	1150	2173
346	1152	2169
347	1155	2165
348	1158	2161
349	1161	2157
350	1164	2153
351	1167	2149
352	1170	2145
353	1173	2141
354	1176	2137
355	1179	2133
356	1182	2129
357	1184	2124
358	1187	2120
359	1190	2117
360	1193	2112
361	1196	2108
362	1199	2104
363	1202	2100
364	1205	2097
365	1208	2092
366	1210	2088
367	1213	2084
368	1216	2080
369	1220	2077
370	1223	2074
371	1226	2071
372	1229	2067
373	1232	2063
374	1236	2060
375	1240	2058
376	1244	2056
377	1247	2051
378	1250	2048
379	1252	2044
380	1256	2040
381	1259	2036
382	1261	2032
383	1264	2028
384	1267	2025
385	1270	2021
386	1273	2017
387	1276	2013
388	1279	2009
389	1282	2005
390	1285	2001
391	1288	1998
392	1291	1994
393	1294	1990
394	1298	1988
395	1302	1986
396	1305	1982
397	1307	1978
398	1310	1974
399	1313	1970
400	1316	1966
401	1319	1962
402	1322	1959
403	1325	1955
404	1328	1952
405	1332	1950
406	1336	1947
407	1339	1944
408	1342	1940
409	1345	1936
410	1348	1932
411	1351	1928
412	1354	1925
413	1357	1921
414	1360	1917
415	1363	1914
416	1366	1910
417	1370	1908
418	1374	1905
419	1376	1901
420	1380	1898
421	1382	1894
422	1385	1890
423	1388	1886
424	1391	1883
425	1394	1879
426	1397	1875
427	1400	1871
428	1403	1867
429	1406	1864
430	1409	1860
431	1412	1856
432	1414	1852
433	1417	1848
434	1420	1845
435	1423	1841
436	1426	1837
437	1429	1834
438	1432	1830
439	1435	1826
440	1438	1823
441	1441	1819
442	1444	1815
443	1447	1812
444	1449	1808
445	1453	1805
446	1455	1801
447	1458	1797
448	1461	1793
449	1465	1790
450	1468	1787
451	1471	1783
452	1474	1779
453	1476	1776
454	1479	1772
455	1483	1769
456	1486	1766
457	1489	1762
458	1491	1758
459	1494	1754
460	1497	1751
461	1500	1747
462	1503	1743
463	1506	1740
464	1509	1736
465	1512	1732
466	1515	1729
467	1518	1725
468	1521	1722
469	1523	1718
470	1526	1714
471	1529	1711
472	1532	1707
473	1535	1703
474	1538	1700
475	1541	1696
476	1544	1693
477	1547	1689
478	1549	1685
479	1552	1682
480	1555	1678
481	1558	1674
482	1561	1671
483	1564	1667
484	1566	1663
485	1570	1661
486	1574	1658
487	1577	1655
488	1580	1651
489	1583	1647
490	1586	1644
491	1588	1640
492	1591	1637
493	1594	1633
494	1597	1629
495	1600	1626
496	1603	1622
497	1606	1619
498	1609	1615
499	1612	1612
500	1614	1608
501	1617	1604
502	1620	1601
503	1624	1598
504	1627	1594
505	1629	1591
506	1632	1587
507	1635	1583
508	1638	1580
509	1641	1576
510	1643	1573
511	1646	1569
512	1649	1566
513	1652	1562
514	1656	1559
515	1659	1556
516	1663	1554
517	1666	1550
518	1669	1547
519	1672	1543
520	1675	1540
521	1679	1537
522	1681	1534
523	1684	1530
524	1687	1527
525	1690	1523
526	1694	1520
527	1699	1519
528	1704	1517
529	1708	1515
530	1712	1512
531	1717	1510
