iter	Passed	Remaining
0	142	142785
1	145	72453
2	147	48898
3	149	37305
4	154	30697
5	156	25996
6	158	22542
7	161	19977
8	162	17923
9	165	16392
10	167	15028
11	168	13880
12	169	12904
13	172	12160
14	173	11392
15	174	10713
16	175	10119
17	175	9573
18	176	9093
19	176	8668
20	177	8282
21	178	7934
22	179	7618
23	179	7317
24	181	7092
25	182	6851
26	183	6614
27	184	6402
28	184	6191
29	185	6004
30	186	5829
31	187	5663
32	187	5504
33	188	5360
34	189	5214
35	190	5089
36	190	4960
37	191	4838
38	191	4720
39	192	4613
40	192	4507
41	193	4405
42	193	4311
43	194	4221
44	194	4132
45	194	4043
46	195	3958
47	195	3880
48	196	3805
49	196	3733
50	196	3659
51	196	3589
52	197	3523
53	197	3462
54	198	3402
55	198	3345
56	198	3289
57	199	3236
58	199	3184
59	200	3134
60	200	3086
61	201	3041
62	201	2996
63	201	2953
64	202	2914
65	203	2878
66	204	2841
67	204	2798
68	204	2759
69	204	2721
70	205	2685
71	205	2650
72	206	2617
73	206	2584
74	206	2551
75	207	2519
76	207	2489
77	208	2459
78	208	2430
79	208	2402
80	209	2374
81	209	2347
82	210	2324
83	210	2298
84	211	2273
85	211	2248
86	211	2224
87	212	2201
88	213	2181
89	213	2160
90	214	2140
91	214	2120
92	215	2098
93	215	2078
94	216	2058
95	216	2037
96	216	2018
97	217	1998
98	217	1979
99	217	1961
100	218	1943
101	218	1926
102	219	1908
103	219	1892
104	220	1876
105	220	1860
106	221	1844
107	221	1829
108	221	1813
109	222	1798
110	222	1782
111	223	1768
112	223	1756
113	224	1745
114	225	1734
115	225	1720
116	226	1707
117	226	1694
118	227	1681
119	227	1667
120	227	1655
121	228	1642
122	228	1630
123	229	1619
124	229	1608
125	230	1596
126	230	1585
127	231	1573
128	231	1562
129	231	1552
130	232	1541
131	232	1531
132	233	1521
133	233	1511
134	234	1502
135	235	1493
136	235	1485
137	236	1477
138	237	1468
139	237	1458
140	238	1450
141	238	1441
142	239	1432
143	239	1422
144	240	1416
145	240	1408
146	241	1399
147	241	1391
148	242	1383
149	242	1374
150	243	1366
151	243	1358
152	243	1350
153	244	1342
154	244	1334
155	245	1326
156	245	1319
157	246	1312
158	247	1306
159	247	1299
160	247	1292
161	248	1285
162	248	1277
163	249	1270
164	250	1266
165	250	1259
166	250	1251
167	251	1244
168	251	1238
169	252	1232
170	252	1225
171	253	1219
172	253	1212
173	254	1206
174	254	1200
175	255	1194
176	255	1188
177	255	1181
178	256	1176
179	257	1172
180	257	1166
181	258	1160
182	258	1155
183	259	1151
184	260	1146
185	260	1140
186	261	1135
187	261	1129
188	261	1124
189	262	1118
190	262	1112
191	263	1107
192	263	1102
193	264	1096
194	264	1091
195	264	1086
196	265	1081
197	265	1076
198	266	1071
199	266	1066
200	267	1061
201	267	1057
202	268	1054
203	269	1049
204	270	1048
205	271	1045
206	271	1041
207	272	1036
208	272	1032
209	273	1028
210	273	1023
211	274	1019
212	274	1014
213	275	1010
214	275	1006
215	276	1002
216	276	997
217	276	993
218	277	990
219	278	987
220	279	984
221	279	980
222	280	976
223	280	972
224	281	968
225	281	964
226	282	960
227	282	956
228	282	952
229	283	948
230	283	944
231	284	940
232	284	936
233	285	932
234	285	929
235	285	925
236	286	922
237	286	918
238	287	914
239	287	911
240	288	907
241	288	904
242	289	901
243	290	899
244	290	895
245	290	891
246	291	888
247	291	884
248	292	881
249	292	877
250	293	874
251	293	871
252	293	867
253	294	864
254	294	861
255	295	857
256	295	854
257	296	851
258	296	848
259	297	845
260	297	842
261	297	839
262	298	835
263	298	833
264	300	832
265	301	831
266	301	828
267	302	825
268	302	823
269	303	820
270	303	817
271	304	814
272	304	812
273	305	809
274	306	806
275	306	804
276	307	801
277	307	798
278	308	796
279	308	793
280	309	790
281	309	788
282	310	785
283	310	783
284	322	808
285	322	805
286	323	803
287	323	800
288	324	798
289	325	796
290	325	794
291	326	791
292	327	789
293	327	786
294	328	784
295	328	782
296	329	779
297	329	776
298	330	774
299	330	771
300	331	769
301	331	766
302	331	763
303	332	761
304	332	758
305	333	755
306	333	753
307	334	750
308	334	747
309	334	745
310	335	743
311	335	740
312	336	738
313	336	735
314	337	733
315	337	730
316	337	728
317	338	725
318	339	723
319	340	722
320	340	720
321	341	718
322	341	715
323	341	713
324	342	711
325	342	708
326	343	706
327	343	704
328	344	701
329	344	699
330	344	697
331	345	694
332	346	693
333	346	690
334	346	688
335	347	686
336	347	684
337	348	681
338	348	679
339	348	677
340	349	674
341	350	673
342	350	672
343	351	670
344	351	668
345	352	665
346	352	663
347	353	661
348	353	659
349	354	657
350	354	655
351	355	654
352	356	652
353	356	650
354	357	648
355	357	646
356	358	645
357	358	643
358	359	641
359	359	639
360	360	638
361	360	636
362	361	634
363	362	632
364	362	630
365	362	628
366	363	626
367	363	624
368	364	622
369	364	621
370	365	619
371	365	617
372	366	615
373	366	613
374	367	611
375	367	610
376	368	608
377	368	606
378	368	604
379	369	602
380	369	600
381	370	598
382	370	597
383	371	595
384	371	593
385	371	591
386	372	589
387	372	588
388	373	586
389	373	584
390	374	582
391	374	580
392	374	579
393	375	577
394	375	575
395	376	573
396	376	572
397	377	570
398	377	568
399	377	566
400	378	565
401	378	563
402	379	561
403	379	559
404	380	558
405	380	556
406	381	555
407	381	553
408	382	552
409	382	550
410	383	549
411	383	547
412	384	546
413	385	544
414	385	543
415	385	541
416	386	540
417	387	538
418	387	537
419	419	579
420	420	578
421	426	584
422	427	583
423	428	581
424	428	579
425	429	578
426	431	578
427	431	576
428	432	575
429	432	573
430	433	572
431	435	572
432	436	571
433	436	569
434	437	568
435	438	567
436	439	566
437	439	564
438	440	563
439	441	561
440	442	560
441	442	558
442	443	557
443	443	555
444	444	553
445	444	552
446	445	551
447	446	549
448	446	548
449	447	546
450	447	544
451	447	543
452	448	541
453	448	539
454	449	537
455	449	536
456	450	534
457	450	533
458	451	531
459	451	530
460	452	528
461	452	526
462	452	525
463	453	523
464	453	522
465	454	521
466	455	520
467	456	518
468	456	517
469	457	515
470	457	514
471	458	512
472	458	511
473	459	509
474	459	508
475	460	506
476	460	505
477	461	503
478	462	502
479	462	501
480	463	499
481	463	498
482	463	496
483	464	494
484	464	493
485	465	491
486	465	490
487	467	490
488	467	488
489	467	487
490	468	485
491	468	484
492	469	482
493	469	481
494	470	479
495	470	478
496	471	476
497	471	475
498	472	473
499	472	472
500	473	471
501	473	469
502	473	468
503	474	466
504	474	465
505	475	463
506	475	462
507	476	461
508	476	459
509	477	458
510	478	457
511	478	456
512	479	454
513	479	453
514	480	452
515	481	451
516	482	450
517	482	449
518	483	447
519	483	446
520	484	445
521	484	443
522	484	442
523	485	440
524	485	439
525	486	438
526	486	436
527	487	435
528	488	434
529	488	433
530	489	431
531	489	430
532	489	429
533	490	427
534	490	426
535	491	425
536	491	423
537	491	422
538	492	421
539	492	419
540	493	418
541	493	417
542	494	415
543	494	414
544	494	413
545	495	411
546	495	410
547	496	409
548	496	408
549	497	406
550	497	405
551	497	404
552	498	403
553	499	401
554	499	400
555	500	399
556	500	398
557	500	396
558	501	395
559	501	394
560	502	393
561	502	391
562	503	390
563	503	389
564	504	388
565	504	386
566	505	385
567	505	384
568	505	383
569	506	381
570	506	380
571	507	379
572	507	378
573	508	377
574	508	376
575	509	375
576	510	374
577	511	373
578	512	372
579	512	371
580	513	369
581	513	368
582	513	367
583	514	366
584	514	365
585	515	363
586	515	362
587	515	361
588	516	360
589	516	359
590	517	357
591	517	356
592	522	358
593	522	357
594	522	355
595	523	354
596	523	353
597	524	352
598	524	351
599	525	350
600	525	348
601	526	347
602	526	346
603	526	345
604	527	344
605	527	343
606	528	341
607	528	340
608	528	339
609	529	338
610	529	337
611	530	336
612	531	335
613	531	334
614	532	333
615	533	332
616	533	331
617	534	330
618	534	328
619	534	327
620	535	326
621	535	325
622	536	324
623	536	323
624	537	322
625	537	321
626	538	320
627	538	318
628	538	317
629	539	316
630	539	315
631	540	314
632	540	313
633	540	312
634	541	311
635	541	310
636	542	309
637	543	308
638	544	307
639	544	306
640	545	305
641	545	304
642	546	303
643	546	302
644	547	301
645	547	299
646	547	298
647	548	297
648	548	296
649	549	295
650	549	294
651	549	293
652	550	292
653	550	291
654	551	290
655	551	289
656	552	288
657	552	287
658	553	286
659	554	285
660	554	284
661	555	283
662	555	282
663	556	281
664	556	280
665	557	279
666	557	278
667	558	277
668	558	276
669	558	275
670	559	274
671	559	273
672	560	272
673	560	271
674	561	270
675	561	269
676	561	268
677	562	267
678	562	266
679	563	265
680	566	265
681	567	264
682	567	263
683	568	262
684	568	261
685	569	260
686	569	259
687	570	258
688	570	257
689	571	256
690	571	255
691	572	254
692	572	253
693	573	252
694	573	251
695	574	250
696	574	249
697	575	248
698	576	248
699	576	247
700	577	246
701	577	245
702	578	244
703	578	243
