,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8,0.0004099369049072266,0.0005025672185099263,0.0,0.0,linear,,1,5,"{'kernel': 'linear', 'degree': 5, 'C': 1}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
2,0.0005994796752929688,0.0004894731129544958,0.0003996372222900391,0.0004894536906783155,linear,,100,4,"{'kernel': 'linear', 'degree': 4, 'C': 100}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,2
9,0.0,0.0,0.0,0.0,sigmoid,0.0001,1000,3,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 1000}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,2
1,0.0001998424530029297,0.0003996849060058594,0.003166007995605469,0.006332015991210938,rbf,0.0001,100,,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 100}",0.9166666666666666,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9,0.042491829279939865,4
3,0.0007992267608642578,0.00039961350489739006,0.0005997657775878906,0.0004897069466492548,rbf,0.001,10,,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.9166666666666666,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9,0.042491829279939865,4
5,0.0,0.0,0.0,0.0,sigmoid,0.01,100,3,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 100}",0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8833333333333334,0.04082482904638627,6
4,9.012222290039062e-05,0.00018024444580078125,0.0,0.0,sigmoid,0.0001,100,4,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 100}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,7
6,0.0010020732879638672,0.0006361115460433692,0.0033454418182373045,0.006203586888838888,sigmoid,0.001,10,4,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 4, 'C': 10}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,7
7,0.0009991645812988282,1.291867941297919e-06,0.0003998279571533203,0.0004896872457665585,sigmoid,0.0001,100,3,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 100}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,7
0,0.00023212432861328126,0.00046424865722656257,0.0,0.0,rbf,0.001,1,,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,10
