시도명,관광지출액,전년도 관광지출액
서울특별시,1.2329105154419E13,9.473814510496E12
부산광역시,3.118823251323E12,2.481889542348E12
대구광역시,1.815442870457E12,1.467695102394E12
인천광역시,1.839161597909E12,1.396474759205E12
광주광역시,9.68642047943E11,8.38765840116E11
대전광역시,1.564182088569E12,1.03388650863E12
울산광역시,5.6883010567E11,4.70252923292E11
세종특별자치시,1.02045304984E11,9.2225661496E10
경기도,9.569764579673E12,8.121755936778E12
강원도,1.383251528144E12,1.173286074866E12
충청북도,1.057213627018E12,9.1642959687E11
충청남도,1.197093793716E12,1.021302036941E12
전라북도,7.90790011604E11,7.51575945391E11
전라남도,9.77192978764E11,8.3696164858E11
경상북도,1.304260195308E12,1.140700695694E12
경상남도,1.566397878063E12,1.343492661329E12
제주특별자치도,1.223103770441E12,1.114602553457E12
