시도명,방문자수,전년도 방문자수
서울특별시,5.74138421E8,4.93650524E8
부산광역시,1.41850354E8,1.2682884E8
대구광역시,1.01341517E8,8.8575125E7
인천광역시,1.627912E8,1.37962498E8
광주광역시,6.5003241E7,5.7110556E7
대전광역시,7.7445462E7,6.9948254E7
울산광역시,4.7583356E7,4.3702315E7
세종특별자치시,2.7167587E7,2.5755465E7
경기도,6.14719516E8,5.57003044E8
강원도,1.55688787E8,1.35732749E8
충청북도,1.0940966E8,9.8004355E7
충청남도,1.60518006E8,1.45079713E8
전라북도,9.6078088E7,8.496241E7
전라남도,1.28349337E8,1.16892683E8
경상북도,1.80584844E8,1.64344571E8
경상남도,1.52146144E8,1.4270382E8
제주특별자치도,6.7612046E7,6.3694287E7
